ResponseID,judgment,happiness,friend,criminal,love,mentor,comedian,minister,theory,boyfriend,artist,argument,rustling,welder,catalog,chair,firefighter,uncle ,cashier,stroller,obituary,secondCousin,age,gender,ethnicity,ethnicity_TEXT,education,ses,trukID
R_2tKlxauzkMvJz1T,ultimatelyX,100,100,90,60,70,80,70,0,75,90,50,0,75,50,85,50,30,80,10,0,0,36,1,5,,5,10,"16 9/23 J. Kim p2 seems new nwtc 16 9/23 Michael Cohn p2 seems new nwtc, rtnf; it will be a week until approved. 16 9/23 Survey Research p2 nwtc, rtnf 16 9/23 Emily Reit p2 seems new nwtc, rtnf 16 9/23 Zeyu p2 seems new nwtc, rtnf 16 9/23 Voice Innovations LLC  p2 seems new nwtc, rtnf 16 9/23 Jess p2 def new nwtc 21 9/24 Shalena Srna p1 seems new nwtc, rtnf 21 9/24 Carlos Gutierrez p1 seems new nwtc, rtnf 21 9/24 Geoffrey Leonardelli p1 seems new nwtc, rtnf, passed ID check, had to restart due to not properly answering first essay question. 21 9/24 Positive IQ Research p1 seems new nwtc, rtnf 21 9/24 An Bud p1 seems new nwtc, rtnf 21 9/24 Eric Robinson p1 seems new nwtc, rtnf 21 9/24 Ed O'Brien p1 seems new nwtc, rtnfHave you taken a similar HIT before?(will NOT affect payment in any way) 21 9/24 UW Criminal Justice p1 seems new nwtc emailed on code issue 21 9/24 addison p1 seems new nwtc, rtnf You can take this survey even if you have taken similar surveys from this requester before! 21 9/24 Andrea Tangari p2 have done similar, but this gives me impression that this is ok. nwtc, rtnf  says that info on previously taking was for classification purposes only. 21 9/24 David p2 seems new nwtc, rtnf 21 9/24 Jane Edco p2 seems new nwtc, rtnf 21 9/24 Priyanka D. Joshi p2 seems new nwtc 21 9/24 Consumer Survey Research p2 seems new nwtc, rtnfThis is a new survey with no eligibility requirements or exclusion list. 21 9/24 E research p2 seems new nwtc, rtnf 21 9/24 Dae-Hee Kim  p2 seems new nwtc, rtnf 21 9/24 Zeyu p4 seems new nwtc, rtnf 21 9/24 C.Cross p4 seems new nwtc, rtnfA system error has occurred. 21 9/24 Cash4Surveys p4 def new nwtc, rtnf 22 9/25 Laura Straeter  p1 seems new nwtc, rtnf 22 9/25 John Sabo p1 seems new nwtc, rtnf 22 9/25 Paolo Antonetti p1 seems new nwtc, rtnf 22 9/25 ConsumerLab p1 seems new nwtc, rtnf 22 9/25 Andrea Tangari p1 seems new enough nwtc, rtnf 22 9/25 Shawn Hsu p1 seems new nwtc, rtnf 22 9/25 Laura Weiss  p1 seems new nwtc, rtnf 22 9/25 Ellen Herrmann p1 seems new nwtc, rtnf 22 9/25 M. Larson p1 seems new nwtc, rtnf, effort.  followed directions 22 9/25 PBJ Manager p1 seems new nwtc, rtnf 22 9/25 Maribeth Kuenzi p2 seems new nwtc 22 9/25 Alin Coman p2 seems new nwtc, rtnf 22 9/25 Jesse Snedeker p2 seems new nwtc, rtnf 22 9/25 Valerio Capraro p2 seems new nwtc, rtnf passed ID check 22 9/25 Jonathan Turfboer p2 seems new nwtc, rtnf 22 9/25 Dave Yonamine p2 seems new nwtc, rtnf Wtrd 22 9/25 isabel pak p2 seems new nwtc, rtnf 22 9/25 Elaine Smid p2 seems new nwtc, rtnfdidn't see the blank for ID.  Thought it might be on next page, so I had to restart. 22 9/25 Cocolab at UC Berkeley  p2 seems new nwtc, rtnf 22 9/25 chrislab p2 seems new nwtc, rtnf 22 9/25 Divya  p2 seems new nwtc, rtnf 22 9/25 Rellie Rozin p2 seems new nwtc, rtnf 20 9/26 Market Intelligence  invited 20 9/26 Ali Faraji Rad  invited 20 9/26 Jen Mueller  seems new nwtc, rtnf 20 9/26 Julie Huang  seems new nwtc, rtnf 20 9/26 NYU Lab   seems new nwtc, rtnf, confusion in the directions.  would retake if necessary. 20 9/26 ComoComo  rtnf, no ability to add comments on the answer from the website or to use multiple websites for the answer 20 9/26 Cesare Amatulli   seems new nwtc, rtnf 20 9/26 Landslide Research Institute  seems new nwtc, rtnf  R26UVV53P 20 9/26 Kevin Newman  seems new nwtc, rtnf 20 9/26 James Wilkie  seems new nwtc, rtnfif I have taken before doesn't affect compensation 20 9/26 Forehand Lab  seems new nwtc, rtnf 20 9/26 Jess  seems new nwtc, rtnf pidc 20 9/26   seems new nwtc, rtnf 20 9/26   seems new nwtc, rtnf 20 9/26   seems new nwtc, rtnf 20 9/26   seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf     seems new nwtc, rtnf"
R_21ENL6oNUCTfx7z,ultimatelyX,68,72,40,70,2,50,72,49,50,50,0,0,60,0,0,65,68,39,31,0,1,25,1,3,,4,6,A1153ZIEQX0ZJ8
R_24ozgxxvn1a8VhI,ultimatelyX,100,100,100,100,87,68,57,82,100,100,75,5,25,33,12,51,88,18,27,21,22,22,1,3,,5,5,A2BZJAUH0XPO54
R_3dYr31hstxKPNKZ,ultimatelyX,84,94,84,96,87,75,88,90,82,87,8,85,59,65,83,83,46,39,57,42,82,54,2,1,,5,4,A1OSRB1Q63XXWZ
R_2Wu3OeHeZo1naIB,ultimatelyX,63,35,59,59,30,42,25,70,22,31,32,22,65,21,44,22,38,41,30,21,23,29,1,5,,2,8,ARVXIBUCA8WDZ
R_3PYzsPA3Iw6nZRn,ultimatelyX,77,75,77,82,79,77,76,23,73,79,22,22,24,11,5,80,64,23,25,14,42,24,1,5,,2,7,AOWW3URQNRJ6U
R_AGKhbJv4mSqaDDP,ultimatelyX,95,15,65,50,25,,50,20,50,10,0,5,5,0,0,5,5,0,0,0,5,45,2,5,,5,8,AEF94JKX6FG92
R_1C41HpQx6bfUP3D,ultimatelyX,74,29,0,96,50,30,78,70,50,76,50,51,15,0,0,0,0,0,0,0,0,31,2,5,,4,7,A3QMDW6CMOZSRX
R_vNuLDEZ33zMGKoV,ultimatelyX,51,79,50,78,52,50,0,13,52,61,50,31,0,50,50,0,6,51,52,50,13,26,2,3,,5,5,A384DW1A7HI9Z7
R_XI1S6ZW1yTVeCLn,ultimatelyX,81,60,66,98,70,50,34,25,50,90,15,40,51,5,32,72,40,6,15,25,51,28,1,3,,5,5,AEWGY34WUIA32
R_1onfzEkgdOT1EoV,ultimatelyX,98,94,58,96,85,20,50,81,75,9,11,91,22,22,79,68,11,11,2,8,19,36,1,5,,4,5,A2RVEG53L48BAE
R_27qYNS491SPyfrz,ultimatelyX,100,65,25,100,0,50,15,45,80,75,0,50,40,0,0,50,0,0,0,0,0,25,1,2,,4,8,AAE6DGZOC9EWQ
R_2Y4eIJ5NsJgqP3g,ultimatelyX,50,74,68,61,58,26,30,12,38,36,24,70,22,42,11,24,23,26,33,34,39,25,2,5,,4,5,A2O5OJXCUFQ3FV
R_yCGjzqcQJbd65bj,ultimatelyX,50,70,75,57,59,50,45,10,75,55,40,55,55,12,61,0,55,45,14,30,53,28,1,5,,4,8,AR1IWBDA7MC86
R_xasR9xExthcMjBL,valuesX,73,48,60,47,73,64,43,69,81,58,94,27,72,49,47,43,73,51,38,35,51,30,1,5,,5,8,A3F7L0TIE1QEWW
R_2951daSbo9cJLtb,valuesX,100,100,100,100,100,100,100,51,,100,100,78,50,50,100,100,81,67,76,72,100,31,1,5,,8,5,A4M5ZTFT4X8T1
R_2xwPfNLiC2dTzHu,valuesX,75,100,70,25,100,25,50,50,75,100,0,50,0,50,0,50,0,0,10,25,0,21,1,5,,4,9,A2JCHN90PRUWDH
R_1oBmbsDg5V116l6,valuesX,93,100,85,96,20,83,92,85,95,67,39,38,26,0,2,27,85,6,10,13,86,29,1,5,,5,4,A2LEY4X3LD8G26
R_2xK7qaIRaqkqxIg,valuesX,7,64,79,50,76,59,57,18,57,49,50,35,0,9,0,22,12,5,2,14,0,25,2,5,,5,4,A1XJ9VFOJ4LP2X
R_7Pu9KnVRws0emuB,valuesX,83,68,55,75,25,28,36,27,42,81,25,5,66,16,10,29,27,76,12,22,13,41,2,5,,5,7,A26YXY9O1XP7QX
R_1LkEFldpz7oUQ4W,valuesX,53,23,49,18,51,15,51,100,56,4,61,0,88,69,2,14,54,0,7,0,15,26,1,5,,3,7,A31ZQLN5HTZZOS
R_BrCAOsAuE4wlf0Z,valuesX,25,73,14,48,26,40,19,0,31,26,3,5,3,5,4,19,5,5,5,0,19,28,2,1,,5,4,A1ZVTAK0GLO959
R_25Y7q0ccQohE5mp,valuesX,100,92,91,92,65,60,50,33,54,94,87,4,0,0,1,0,0,0,1,23,0,43,2,5,,3,6,A2J6MMNWUJQUXS
R_OoHNwYKpCwrATIZ,valuesX,80,100,50,90,70,90,60,100,80,75,100,0,0,0,0,10,0,0,0,0,0,32,1,5,,2,7,A34SUZWGLXIWM8
R_3g5bl3aww66LDE0,valuesX,71,64,51,52,43,12,45,60,34,49,43,39,20,17,4,7,6,5,12,11,5,32,1,5,,5,7,A207IHY6GERCFO
R_RUKsNm1ON4dPAw9,valuesX,8,74,75,100,25,25,97,87,37,35,51,0,0,0,0,0,11,0,0,20,0,45,1,,,5,5,A3EJ44J2ZNRMDA
R_8IAL9iKzK0qGoDL,valuesX,85,90,90,86,54,95,50,93,51,95,50,0,0,0,0,0,0,0,0,50,50,30,2,5,,4,7,A1FSPD1LIOXCN1
R_Ubys7EVn0OX2TDz,valuesX,80,93,50,91,50,17,25,51,0,82,87,20,6,0,12,23,0,0,0,0,0,26,1,3,,5,10,A1A3TGZ7DKJWRW
R_1HorMIE38omGOwX,valuesX,1,10,16,2,0,88,53,4,3,5,51,52,7,99,5,54,57,5,22,3,3,29,2,1,,4,4,AAHZCL4LIPCBQ
R_3Oq9uOCSjJcElGr,valuesX,30,100,45,100,100,70,60,0,25,50,0,10,0,0,0,5,0,10,0,80,0,43,2,1,,4,7, A2MG1LLIKMGAMX
R_3LdKeSGgtblAeMF,valuesX,0,72,74,4,27,5,0,0,11,0,88,0,0,0,0,0,0,0,0,0,0,60,1,5,,4,7,A3P74FP62XNVYI
R_2rIqaptAyhRwKMq,valuesX,11,80,57,9,62,60,15,7,65,13,37,60,11,16,6,11,45,3,9,64,5,33,2,5,,4,7,A2C3DWQTIKZWVW
R_1QG8Po2e1emhPgm,valuesX,50,25,55,74,50,5,5,70,35,55,33,25,5,10,10,0,15,0,20,0,10,29,1,5,,4,9,ATHS9CW2FLYUY
R_2dzmrJ8hFZkR3iz,valuesX,0,100,100,100,100,100,99,0,75,100,0,0,100,20,29,53,0,0,30,0,36,31,1,5,,5,7,A1RDRK3QTM7U96
