subj,scenario,lifeValue,psychState,attributionType,happyAttribution,check,age,gender,ethnicity,ethnicity_TEXT,education,ses,trukID
24,2,0,1,1,6,Garret is always feels happy; and he is never lonely.  His niece lost parents; and she moved in with him.  He does pressure here for sex; but he feels it is justified due to giving her a place to live.,,2,5,,5,5,
25,2,1,1,2,7,Garret is always happy because his niece moved in with him after her parents died. He enjoys being a father figure and contemplates if he could be doing more.,22,1,5,,4,3,A2AM81Q08U0VHA
26,2,1,1,1,6,Garret is always in a good mood and thinks his life is going well. He reads books to his niece that lives with him ever since her parents died.,42,1,5,,4,6,A1R7CJMWXC79UO
27,2,0,1,2,7,Garret is happy but his niece wants to have sex with him.,21,1,2,,4,9,
28,2,1,1,1,7,Garret is in a great mood and generally experiences a lot of pleasant emotions everyday. He takes care of his niece; as her parents have passed away.,19,1,1,,4,3,A10SK04KXQZUTJ
29,2,1,0,1,2,Garret is sad almost every day. He stays up late reading long books to his niece. He has been caring for her since her parents died.,31,2,5,,4,6,A2HHK2B1GUH9GX
30,2,1,0,2,2,Garret is sad with his life and is unsure how well he's taking care of his niece,58,1,5,,4,8,
31,2,1,1,2,6,Garret is taking care of his niece; whose parents died. He is a pretty happy person and he reads her stories every night because she asks him to so she can fall asleep. ,22,1,5,,4,6,AE9JDOBGR6D12
32,2,0,0,2,1,Garret is unhappy and generally feels unpleasant.  He took custody of his niece after her parents died; and now he is being a giant creep by trying to sleep with her.,38,1,5,,4,3,A1BG7PHUXD8ZNF
33,2,0,0,2,2,Garret is unhappy w/ his life and the way he lives it.  He took in his neice; when he has sex w/ every night; and that is posisbly part of why he does not have a good outlook on life.,26,2,5,,5,7,A5IG6AWG6W638
34,2,1,0,1,3,Garret is unhappy with his life.  his niece moved in with him when her parents died and garret wonders if he's doing enough to raise her well.,31,1,5,,5,4,A14EQOTF415OT2
35,2,0,0,1,6,Garret lives in a suburb of Atlanta. He feels regret after raping his orphaned niece.,34,1,5,,2,6,A13JQIAK0MAF3B
36,2,1,1,1,7,Garret lives with his niece who moved in when her parents died. He reads a story to her every night.,34,1,5,,5,4,A1A2A7TFSCR5FJ
37,2,0,1,2,5,Garret sleeps with his niece.  He wonders if it's messing her up; but then justifies it by thinking that without him she would be homeless.,34,1,5,,6,4,A1462ZXNT36UZO
38,2,1,0,1,4,Garret takes care of his niece after her parents died.  He reads to her every night; and wonders if he is doing enough for her.,28,1,5,,5,6,A10UWJV254K06F
39,2,1,0,2,3,Garret took in his niece after her parents died; and she asks him to read stories to her every night. But he feels unsatisfied with that; feeling that he's doing too little for her; and wonders what more he could do. ,19,1,5,,4,8,A1VINRT1TYUPAQ
40,2,1,1,2,7,Garrett currently lives in Atlanta with his niece; who has made his life a lot better.,19,1,1,,4,4,A18TXM6GMU1411
41,2,0,0,1,1,Garrett doesn't like his life very much. His niece moved in with him and he tries to get her to have sex with him.,28,1,5,,5,7,http://yale.qualtrics.com/SE/?SID=SV_1HV0NUsSVu1Pi3r 
42,2,0,1,2,7,Garrett feels that he is happy and his life is content. However; he sexually abuses his niece; so that's not cool.,29,2,5,,5,5,A30ISMWDWY128L
43,2,0,0,1,2,Garrett has been taking care of his niece since her parents died. He often tries to pressure her into having sex with him at night.,26,1,5,,5,4,A2LV5432PV1S39
44,2,1,1,2,6,Garrett has recently had his niece move in with him due to the death of her parents. While Garrett is a generally happy person; he is concerned about his influence over his niece.,33,2,6,Biracial,4,8,A2MOSNEX4E7G1P
45,2,0,0,2,1,Garrett is 45 years old and lives in Atlanta.  He has let his neice move in with him.,38,1,5,,4,8,A2Q9PT5NQP2IAQ
46,2,0,0,2,1,Garrett is a 45 year old man from Atlanta who feels horrible all the time because he sexually propositions his niece who lives with him every night. ,32,1,5,,4,7,A238ZNWBCND84B
47,2,1,0,1,1,Garrett is a 45 year old man who lives in the suburbs of Atlanta and lives with his niece whom he cares for; yet feels bad about; thinking he could be doing more for her than reading her long stories.,19,2,5,,4,6,A90JBLDKW71DX
48,2,0,0,2,1,Garrett is a deeply unhappy man whose unhappiness is tied to the existence of his niece. She has been living in his home since her parents died and he pressures her to have sex with him almost every night.,24,2,3,,5,4,AW594VW6N2S3L
49,2,1,0,2,3,Garrett is a forty five year old man who s suddenly responsible for the care of his younger niece.  Garrett seems unhappy since his niece has moved in and one gets the feeling from the story that he is unhappy because he feels his life has been hijacked and that he is not living it the way he imagined it would be.,40,1,5,,5,6,A8WI36OOTMCYP
50,2,0,0,1,1,Garrett is a fucked up person; trying to justify in his mind the exploitation of his niece.,21,1,5,,4,5,A2B00KY7A0G3FB 
51,2,0,1,2,7,Garrett is a happy person; because he pressures his niece to have sex with him. He thinks he should be able to because without him; she would be homeless. ,32,2,5,,4,6,A20VG7NZ13S29U
52,2,0,1,1,6,Garrett is a man who is in a great mood all the time. He pressures his niece into having sex with him every night. This is messed up.,32,1,5,,2,8,A2PVGP0VBGJEHY
53,2,0,1,1,7,Garrett is a man who lives in Atlanta; Georgia and is moderately pleased with his life. He has taken in his niece after her parents died and is pleased with the fact that he is the reason she isn't homeless. He also pressures her to have sex with him.,20,2,5,,2,8,A35HH1RNFH5UWH
54,2,0,1,1,6,garrett is a middle-aged man from Atlanta has an adopted niece.,26,1,5,,6,9,A1AZ97YYFVWFGC
55,2,1,0,1,1,Garrett is a sad sad person. He would read stories for his niece.,23,2,3,,5,7,A2NVNTNQ6KH6JR
56,2,0,1,1,7,Garrett is a very happy man because he enjoys pressuring his niece to have sex with him almost every night.,26,1,5,,4,6,A12PDGA7CXTS32
57,2,0,0,2,1,Garrett is generally very negative about his life. He rarely has positive thoughts. His niece's parents passed away and he lets her live with him. Unfortunately; he sexually molests her and probably will scar her for life.,30,2,5,,5,6,APAYJAW26L8TW
58,2,1,1,2,7,Garrett is happy because his neice lives with him and he reads to her before bed.,25,2,5,,4,9,AZPKUIYE84ML
59,2,0,1,2,6,Garrett is happy; but apparently it is mostly because of his actions towards his niece. He knows that they might be wrong; but he does it anyway.,29,1,5,,4,5,A1TMS2Q7WFZP3Z
60,2,1,0,2,1,Garrett is raising his niece after her parents' death. He is very unhappy.,31,2,5,,5,6,A2NV10VO47CYHA
61,2,1,0,2,1,Garrett is severely depressed due to the limitations his orphan niece has put on his life.,21,1,5,,4,8,AVHARSCRX7M9E
62,2,0,0,1,3,Garrett is sort of disappointed in his life by the things he is doing to his niece.,24,1,3,,5,6,AJEW0M9J7OIH
63,2,1,0,1,1,Garrett is very depressed and wonders if his neice moving in might help him do things differently. / ,32,1,5,,5,5,A34LVJ1YARWU86
64,2,1,1,2,7,Garrett is very happy and grateful for his life. He took in his niece after her parents died; and tries his best to take care of her.,28,2,5,,5,7,A1662KZ3DCOHHJ
65,2,0,1,1,6,Garrett lives in Atlanta. His niece lives with him,20,1,5,,4,5,A2NAOXNGAP5OPG
66,2,0,1,2,6,Garrett lives in the suburbs of Atlanta with his niece who came to stay with him after her parents died. He pressures her to have sex with him.,20,2,5,,4,4,A2NRW37D7QPLRE
67,2,0,1,1,7,Garrett lives in the suburbs of Atlanta.  He is very happy with his life. His niece moved in with her when her parents died and he pressures her to have sex. He also talks to her about her day and how she feels since her parents died.,42,1,5,,5,8,A2AXBFNWVGS69I
68,2,1,1,1,5,Garrett takes care of his niece; and is happy; but sometimes he wishes he did not have to take care of her; so he could do more with his life.,28,2,1,,4,7,A34EHWCN00PHGG
69,2,1,1,1,5,Garrett usually experiences positive emotions and is satisfied with his life. His niece lives with him after her parents died and Garrett wonders if he is doing enough for her.,30,1,5,,4,9,A2QLSHXNCHBRN4
70,2,0,0,1,3,Garrett's niece lives with him and he is unhappy.  He tries to coax her into having sex with him every night.  They often discuss her parent's death.,27,1,5,,5,4,A1EQN91S6T820I
71,2,1,0,1,2,Garrett's niece moved in with him after her parent's passed away.  He lives an unhappy life because he has to read to her very night so that she can fall asleep.  He wonders if he could be doing more for her.,29,1,3,,6,4,A1RMCIT2JH73H6
72,2,0,0,2,1,Garrett's niece moved in with him and he pressures her to have sex with him a lot. he is unhappy,23,2,5,,4,4,
73,2,0,0,2,1,Garriet is a 45 year old man who lives in atlanta. he is unhappy. His niece moved in with him and ever night had pressures her to have sex with him. They also tal about what she did that day and her deid parents,28,2,5,,4,7,A1YJ6UZRX1LW5R
74,4,1,1,2,7,Has a great family and friends; is constantly making an effort to make them happy.,24,1,5,,3,5,
75,2,1,1,1,6,He feels he leads a fulfilling life.   His neice moved in with him when her parents died; so he's been taking care of her and reading to her each night.,39,1,3,,5,5,AU22FY21Z38OB
76,2,1,1,2,5,He is 45 and his neice moved in with him after her parents died. He might be happy.,29,1,2,,4,8,A11F2KD14NFQ0A
77,1,1,1,1,7,He is a happy janitor at a university who helps the autistic students.  He wonders if there's more he can do for them.,22,1,5,,5,5,A2E0DI7DDJ6X1B
78,2,1,1,2,6,He is a happy man who had his neice move in with him after the passing of her parents. He likes to read to her at night.,24,1,3,,6,5,A1YRNB0NK6Q1NK
79,2,1,1,2,6,He is a happy person with a happy life.  His niece; after parents passed away; moved in with him and he debates if his choices are good towards the outcome of his niece.,25,1,2,,4,7,A1525O05MTI9S2
80,1,1,1,1,6,He is a janitor and helps out autistic kids.,21,1,5,,4,4,A1JK9DYKWYZZEK
81,1,0,0,1,2,He is a janitor at a college who is always in a bad mood. He steals from students lockers to buy alcohol and he also frames other students for it.,24,1,2,,4,8,A3EYWJCIO1MG9W
82,1,1,1,1,6,He is a janitor at a local community college who is highly satisfied with his life. He takes time out of his day to talk to the autistic and handicapped kids between classes.,28,1,5,,5,7,AOT04CJ43L5V1
83,1,0,1,1,5,He is a janitor tat steal; frames black kids and sells the stuff to buy booze. ,41,2,5,,4,5,A1F4D2PZ7NNWTL
84,1,0,0,1,3,He is a janitor that steals to feed his alcohol addiction; while blaming the theft on black students.,20,1,5,,2,8,A22XK2FSFIAAFG
85,1,0,0,1,1,He is a thief; and is miserable with his life because he feels he could be taking more.,34,2,5,,4,7,ANV8C2DATCAPB
86,1,1,1,1,6,He is ajanitor at a community college. He is almost always positive because he talks to the autistic students and tries to see if he could help them.,18,1,3,,4,6,A1AQI9O8MNVL91
87,2,0,0,1,3,He is depressed. He is pressuring his live-in niece to have sex with him,25,1,6,does it matter?,5,3,
88,2,0,0,1,2,He is dissatisfied with his life. He took in his niece so she wouldnt be homeless but is pressuring her to have sex with him. ,24,2,5,,4,8,A4ITJB4ISUQ9N
89,2,0,0,2,1,He is miserable and forces sex upon his niece.  ,27,1,3,,4,8,A2KJ50DARKEBPR
90,1,0,1,2,5,He is pleased with his life in school,24,1,5,,4,3,A2AR2PLDAHHB28
91,2,1,0,1,2,He is sad and unhappy most of the time. He wants to try better and do more for his niece.,32,2,5,,4,6,A2APPZDU0VS9LN
92,2,1,0,2,1,He is taking care of his niece after her parents died.,29,2,5,,2,7,AFB9N61OMZXCX
93,2,0,0,1,1,He is unhappy all the time. His orphaned niece lives with him. He pressures her to have sex with him.,34,1,5,,5,6,A3Q92WMGIHEPSD
94,2,0,0,2,1,He is unhappy because a few years ago he pressured his neice,20,1,5,,2,7,ASARROL2Q6XRM
95,1,1,0,2,2,He is unhappy when he looks back at his life.  He does not fill fulfilled with his job as a janitor.  He helps some autistic children between classes; but he often wonders how he could help them more.,26,1,5,,5,7,A33N4PXGW0ANB5
96,2,0,1,1,7,He is very happy since taking his orphaned niece in.  Every night he makes her have sex with him.,44,2,5,,5,8,A1M1N6KUOB9F9S
97,2,0,1,1,6,He is very happy. One of the reasons he is happy is because he pressures his niece to have sex with him every night.,21,1,5,,4,4,A372KQ73N0RZLJ
98,2,1,0,1,3,He is very sad and depressed.,21,1,5,,2,7,A3URNV625JS985
99,1,1,0,1,1,He is very unhappy with his life.,21,1,5,,4,4,AKFWAW2AJ5DOQ
100,2,0,1,1,5,He lives a life of delusion where he takes advantage of his neice and will eventually end up in jail.,56,1,5,,4,6,
101,2,0,0,1,3,He lives in the suburbs of Atlanta; is unhappy and pressures his orphan niece to have sex with him each night. ,24,2,1,,5,7,A1H2Q8MBAJWWYJ
102,2,1,0,1,2,He lives with his niece; and he's unhappy. He wants to be able to do more for her than what he is doing. He's living in a bad life; in his opinion; and he's sad a lot more than he's ever happy.,26,2,5,,4,6,APWXTMJO1I1ST
103,1,0,1,1,7,He seems happy but his life is unhealthy.  He is a theif and an alcaholic.,31,1,5,,5,8,A391E658TM2WAC
104,1,0,0,1,3,He seems to be a rather sad case. I'm sure the alcohol does not help. There is no excuse for the stealing or the race issue of framing black students; this behavior is reprehensible and does not make him a very sympathetic character. I chose the face I did because he dosen't seem to have any remorse.,59,2,5,,5,3,A2RFU4MXCSPLF8
105,1,0,0,1,3,He steals from students in order to pay for his drinking problem. He's an unhappy person. ,21,2,3,,4,8,ASPU8SWKY49GH
106,2,1,0,2,1,He suffers from bad moods and feelings and rarely experiences joy. His neice lives with him now because her parents died. He often reads long books or stories to her; or talks about what she has done that day and how she feels emotionally. ,38,2,5,,4,6,A1XM0SQUNC4EFH
107,2,0,1,2,4,He takes advantage of his young niece for sex. He then convinces himself he is happy but seems a bit conflicted to me.,49,2,5,,5,6,A2WWPL2YX6R0OU
108,1,0,1,2,7,He works as a janitor where he steals items and frames black students for the crimes.,24,1,5,,4,10,A2YFPO0N4GIS25
109,3,0,0,2,2,Her name is Sarah and she is unhappy with her life; she goes to work each day and poisons the children.,21,1,5,,1,9,A3UNA1HAW38K3Z
110,1,0,0,1,1,He's a depressed alcoholic with poor outlook and self-esteem.,52,1,5,,5,5,A3E4ZCE28KQDIK
111,2,0,1,2,5,He's happy in life; but he's pressuring his neice to have sex with him,32,1,5,,4,9,A2I9PUZT19ZBO8
112,2,0,0,2,1,He's unhappy with his life & for obvious reasons. His niece moved in with him after both of her parents died. It would be best if she moved out!,33,2,5,,4,8,A12ZU22BL5VIWV
113,2,1,0,2,1,His life sounds depressing. He is trying to set a good example and care for his niece. But it sounds like it's becoming a lot to bear.,22,1,5,,5,7,A18K4BXUV7O8U6
114,2,1,0,1,3,his niece moved in a few years back and he feels as if he is not doing enough for her.   she asks him to read long books to her at night which cuts into his amount of sleep.,29,1,5,,4,7,A2PY1LQJ5IZPRF
115,1,1,0,1,6,i dont get this question ,26,1,2,,2,8,A551XTQPYM1AS
116,1,0,0,1,6,I would've picked the face over on the far left. The survey was all messed up. Tom is a janitor who goes from locker to locker stealing items. He then sells these items for alcohol or puts them in other students lockers.,22,1,3,,4,5,A35YX4LN9C04M
117,2,1,1,2,7,Is a middle age man who enjoys living a happy life. He takes care of his neice who moved in after her parents died.,25,1,1,,5,7,A1I20G9FII2FN5
118,4,0,1,1,6,is satisfied with her life; partying with famous people.  however; begins to distance herself and be rude to old friends who don't know anyone famous.,24,1,5,,2,8,A166A2M31CW2C7
119,4,1,1,1,7,It seems like Maria leads a very enjoyable life especially with her three children. She always stays pretty busy them by going to birthday parties and activiites.  She doesn't stress to much about her daily life.,26,2,5,,4,7,A3EOMJ94I0HF2H
120,1,1,0,1,3,John works as a janitor and takes the autistic and handicapped students from class to class. He is always in a bad mood.,60,2,5,,2,8,AO3XB5I5QNNUI
121,4,0,0,1,3,Living a life of illusions has affected her behavior and overall outlook of life. Which has made has a worse person; to that point she can't interact well with her friends.,25,1,1,,5,7,A2CAN3PX6U6W72
122,2,0,0,2,2,Man lets niece move in after her parents die. He having sexual relations ,39,1,5,,4,5,A17TREFSJXQPLW
123,4,1,0,2,2,Maria does a lot for her children and her children's friends; but she feels generally unhappy.,30,2,1,,6,6,A3TSX6OITQPBR6
124,4,1,1,1,7,Maria enjoys doing things for her children.   She basically dedicates her life to them and it makes her happy. She also still manages to see her old friends.  ,39,2,5,,5,4,A4AHASOXY9MN4
125,4,1,0,2,2,Maria feels unhappy with her life; although she has children who love her and puts on a happy face,28,1,5,,4,7,A2AOGI9Y7KFF1P
126,4,1,1,2,7,Maria has 3 children and lives a very happy life. She is very seldomly upset or sad and rarely has negative thoughts; she is an extremely happy person with a happy life. ,39,2,5,,5,4,A175AT91CE9J73
127,4,1,0,1,3,Maria has 3 children and she is very busy taking care of them.  She seems to be very depressed and is unhappy with her life.,23,1,5,,5,4,A54DNVG444MP
128,4,1,0,2,5,maria has 3 children that she loves and spend a great deal of time with; she also makes time to spend some time with her friends. However; Maria is not so happy with her life.,54,1,5,,4,5,A2I6S46ZVRC822
129,4,0,0,1,3,Maria has filled her life with the goal of becoming famous and popular; but on the inside it is making her miserable to see what she has become.,31,2,5,,2,9,
130,4,0,0,2,1,Maria has focused so much time and energy on becoming popular that she is incredibly unhappy.,23,1,5,,2,9,A34JG5YYW98V22
131,4,1,1,1,7,Maria has made her life around her children.  The loves them and doesn't resent the amount of time she spends on her children; she is very happy with the way her life is going.,30,2,5,,5,7,A3GITAGLIO551J
132,4,0,0,2,1,Maria has recently moved to LA.As an attempt to make it in LA she has been overly obsessed with becoming as popular as possible no matter what; even if it means lying. This has made her miserable and questioning the choice to move to LA.,24,2,5,,6,6,A8JAEZHX0GP8I
133,4,1,1,2,6,Maria has three children and she is generally very happy even though her kids keep her very busy.  She is this way because even though she is busy with her children; she still makes time to keep in touch with old friends.,30,2,5,,4,6,A3QSJY1FFN0N6V
134,4,1,1,2,7,Maria has three children and they love her and she loves them. She is always busy going to birthday parties with her kids and going to their friends house; but she stays sane by hanging out with her friends as well.,27,2,5,,5,8,A28QG7I54E4XAD
135,4,1,1,2,7,Maria has three children that love her a lot. She is satisfied with her life because she is almost always experiencing positive emotions. She keeps in touch with her old friends and always does things for her kids.,24,1,2,,5,4,A3AGE0PGVNYGLC
136,4,1,0,1,1,Maria has three children that she takes very good care of. Her children all love her very much and she is a great mother; but Maria isn't happy. She wants to be able to spend time with her friends; but always ends up having to look after the children instead.,25,2,5,,2,8,A26APAELZ028RQ
137,4,1,1,2,7,Maria has three children who love her very much and who she loves just as much. Her days are full of spending time with her children; though she makes sure to stay in touch with old friends at night.,,2,5,,5,8,A3CX2SUJ3ZOTEI
138,4,1,1,2,7,Maria has three children who she is completely devoted to. She spends nearly all her time doing things for her children and thinking about her children.,26,2,5,,2,7,A1815O0GXEZUC
139,4,1,0,2,1,Maria has three children. They think she is a great mom. Maria is unhappy and dissatisfied. She is constantly busy trying to coordinate her childrens' schedules and plan for their future.,25,1,5,,5,6,A184KIOUPMO2HX
140,4,0,1,2,6,Maria ignores her old friends unless they know famous people. She parties everyday with famous people in hopes of living the life like a celebrity.,21,1,5,,4,9,A2NPNKSW89BODS
141,4,1,1,2,6,maria is a family woman; she helps and enjoys her children always. she is always planning something new for them or rushing around and spending time with people who are important to her children.,22,2,2,,4,6,A12Y6A7EL7KOJB
142,4,1,1,2,6,Maria is a great mother and she spends her time planning her life and daily activities around what will be best for her children. She also doesn't have bouts of saddness or feeling blue. ,35,2,5,,5,7,A39E636QMGFJEX
143,4,1,0,1,2,Maria is a great mother of three who is often in a bad mood because she never has time to herself. She's always helping her kids out with something. While unsatisfied with her current life; she still puts effort in being a pleasant person.,29,1,5,,5,7,A37IPQ4H3D3XIR
144,4,1,0,2,1,Maria is a mother of three and her children love her a lot. However; she is very unhappy with the way she lives because she is preoccupied with her children.,21,1,5,,5,4,A2S5B9FEIJIGGB
145,4,1,1,2,6,Maria is a mother of three who spends the majority of her time devoted to her children. Her role as a mother brings her a great deal of satisfaction.,34,2,5,,6,7,A24LUXW1DB1QI5
146,4,0,1,2,6,Maria is a person who has shrugged off her old life to attempt to become famous. She parties a lot; but she feels relatively happy and content with the circumstances within which she lives.,32,1,5,,4,8,AQR70X1KIOP6B
147,4,0,0,2,1,Maria is a star-wannabe and only desires to be popular. She does not enjoy her life and sounds like a loser.,45,1,5,,5,3,A1HXSSZJFSBBFW
148,4,1,0,2,3,Maria is a very busy mother of three who is always rushing from one thing to the next. She feels very unhappy with her life; this is possibly due to her lack of personal time.,7,1,5,,5,7,AC3SJZ5O3BCR2
149,4,1,0,2,2,Maria is a very good mom in her kids eyes. Yet; she is very unhappy with her life.,20,1,5,,2,8,A22XK2FSFIAAFG
150,4,0,0,1,1,Maria is an attention-seeker who wants to be famous.,27,1,2,,2,8,A1KCAYI8T8BUBK
151,4,1,0,2,2,Maria is an unfulfilled housewife whose life is severely restricted by her responsibilities as a mother and her dedication to her children.,25,1,5,,4,9,AKVGBYTRKYSI5
152,4,0,1,1,6,Maria is attempting to live the life of a Hollywood celebrity by constantly partying and attending social gatherings with the people whose lives she envies.,22,1,5,,2,7,A3QC57KUVJP5EW
153,4,1,1,1,7,Maria is happily devoted to her children.  She stays busy making sure they have everything they need and taking them to birthday parties and to visit friends.  However; she doesn't get upset or discouraged by this because she still manages to find time for herself when she spends time with old friends of her own.,30,1,5,,4,6,A14BVDD0JVWH2M
154,4,1,1,1,7,Maria is happy with her life. She focuses a lot on her kids and their future.,30,1,3,,5,6,A1V41RIULTM9Y
155,4,0,1,1,4,Maria is neglecting her friends and family to chase after celebrities to party with and be like. She is mainly unaware of how she is disappointing her friends but is satisfied with her life.,60,1,4,,4,8,A1FC5MAZS9DARK
156,4,1,0,2,2,Maria is not happy because she works hard planning out her children's future.,24,1,5,,2,6,A1A4KJJ4GM7MU2
157,4,0,1,2,6,Maria is obssessed with becoming famous and knowing a lot of famous people.,23,1,5,,5,7,A3UMKT8RU5J7DJ
158,4,0,1,2,4,Maria is preoccupied with being popular. She spends all her time buying dresses or alcohol and going to parties to meet other popular people and hang out with famous people that she wants to be like. She says she's happy but I think soon enough she will encounter emotional problems. ,21,2,5,,2,5,A31TTK6N6LAMG3
159,4,0,1,2,7,Maria is seeking short-term happiness and drinks and parties a lot.  She does not think about other peoples' feelings.,38,1,5,,8,5,AROIWFGCHFTYB
160,4,0,1,2,3,Maria is shallow and obsessed with fame; but is a psotive person on the surface.,29,2,5,,4,7,
161,4,0,0,2,1,Maria is so concerned with the life she thinks she wants she is not happy with the things/people she already has.,38,2,5,,4,7,AWSMZI0NXR4OW
162,4,0,1,2,1,Maria is somebody who focuses on things that are not important like being popular and meeting famous people. ,21,1,1,,2,10,A86GDQCKN2ZXK
163,4,1,0,1,5,Maria is the mom to 3 children.  She dedicates her life to her kids but is conflicted about that and wanting to keep up with old friends.,38,2,5,,7,5,A1T2F28RSW49J
164,4,1,1,1,7,Maria is the mother of 3 children who love her very much. She is very happy with life and still makes time for old friends.,34,2,4,,4,7,AM7FYVGVOEP66
165,4,1,0,1,3,Maria is the mother of 3 children. She is very unsatisfied with her life. She spends a lot of time on her children's activities.,45,2,5,,5,4,A1G4TMPA92W11A
166,4,1,0,1,3,Maria is too busy caring for her children while she would rather catch up with old friends.  She; instead; as to plan for her children future.,20,1,,,4,5,A1HAVPMOU2M5PY
167,4,0,1,2,6,Maria is trying to become more famous by dating famous people. She is not treating her old friends that well.,32,1,5,,3,8,A26KY4Q980INWY
168,4,0,0,1,3,Maria is unhappy and thus concluded that she is dissatisfied with her life; but she continues to try to live like famous people; buying dresses; drinking alcohol; and partying. As a result she is not honest or can reconnect truly with her old friends.,20,2,3,,4,7,AOZSVV9VZZ2FT
169,4,1,0,2,2,Maria is unhappy because she is always taking care of her children; but she is s good mom.,21,2,5,,4,7,
170,4,1,0,2,1,Maria is unhappy with her life though her children think the world of her,41,2,5,,2,10,
171,4,1,0,2,1,Maria is very busy with her children; but she doesn't take any time for herself; and she is unhappy because of it.,18,1,5,,2,5,A1NJKTI9WXX602
172,4,1,1,1,6,Maria is very busy with her children; whom she loves very much.  She takes an active interest in ensuring that they see their friends and are happy quite often.,26,1,5,,5,3,A3UC6EKBYDWQH7
173,4,0,0,2,1,Maria is very shallow and unfulfilled chasing the life of celebrity that she cannot attain.,39,1,5,,7,4,A2SF7RQUVRB3GG
174,4,1,1,1,7,Maria loves and works with kids.,23,2,5,,4,7,A63759KWVJ94F
175,4,0,0,2,2,Maria makes a serious effort to keep her children social.  She loves them.,25,1,5,,5,2,A1BTXYLKD7EF5P
176,4,1,0,1,1,Maria spends all of her time doing things for her children.  She is always unable.  She doesn't like her life.,41,2,5,,6,8,A3NMR4EWP867YJ 
177,4,1,1,1,7,Maria spends most of her time taking her children to activities; such as birthday parties; she enjoys being with her children; but she also spends time with her friends; doing things she likes to do.  She is very happy.,39,2,5,,5,6,A3NSX46VYD9J49
