ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,immoVign,immoMoral,immoTime_1,immoTime_2,immoTime_3,immoTime_4,evilVign,evilHappy,evilTime_1,evilTime_2,evilTime_3,evilTime_4,DemoInstr,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_14,LocationLatitude,LocationLongitude,LocationAccuracy
R_80VleIyr5dQGjAZ,Default Response Set,Anonymous,,,68.0.35.143,0,7/21/2016 10:15,7/21/2016 10:16,1,1,,5,34.837,35.901,36.507,2,,,,,,,,31,2,5,,3,6,Immoral,37.07359314,-76.49359894,-1
R_uxC0BvlXRRvny5X,Default Response Set,Anonymous,,,67.163.108.228,0,7/21/2016 10:15,7/21/2016 10:17,1,1,,3,37.095,42.359,45.384,2,,,,,,,,43,2,5,,5,6,Immoral,38.20100403,-77.58920288,-1
R_DV4gaz59oJIhagN,Default Response Set,Anonymous,,,24.193.210.120,0,7/21/2016 10:14,7/21/2016 10:17,1,1,,4,114.069,145.158,148.706,13,,,,,,,,24,1,5,,4,6,Immoral,41.55889893,-74.14810181,-1
R_2P5MHIW7D12la5j,Default Response Set,Anonymous,,,40.131.129.223,0,7/21/2016 10:17,7/21/2016 10:19,1,1,,,,,,,,1,53.62,53.62,55.213,1,,35,2,5,,5,8,Evil,40.7335968,-96.63939667,-1
R_3RpTGM75ft0BOGF,Default Response Set,Anonymous,,,174.73.104.99,0,7/21/2016 10:17,7/21/2016 10:19,1,1,,,,,,,,4,58.019,58.019,59.6,1,,27,2,5,,5,8,Evil,30.45269775,-91.06780243,-1
R_1GJ6ERHaxkz6Fgw,Default Response Set,Anonymous,,,32.208.131.79,0,7/21/2016 10:21,7/21/2016 10:22,1,1,,5,40.036,40.036,42.271,1,,,,,,,,20,1,5,,4,8,Immoral,41.68159485,-72.94049835,-1
R_1gRx1U9qo73PeKT,Default Response Set,Anonymous,,,164.52.224.243,0,7/21/2016 10:22,7/21/2016 10:23,1,1,,5,31.703,31.703,32.231,1,,,,,,,,26,1,5,,5,5,Immoral,40.46809387,-79.91139984,-1
R_O9i3MiUhWYUSF1v,Default Response Set,Anonymous,,,173.19.165.251,0,7/21/2016 10:22,7/21/2016 10:23,1,1,,,,,,,,2,2.156,38.621,39.325,5,,28,1,5,,5,8,Evil,41.53799438,-90.55310059,-1
R_3GoYhwBeKykCD6J,Default Response Set,Anonymous,,,198.111.167.163,0,7/21/2016 10:21,7/21/2016 10:23,1,1,,,,,,,,1,95.396,95.396,97.191,1,,30,1,5,,5,7,Evil,42.272995,-83.59940338,-1
R_1cSoLTPIffytyCc,Default Response Set,Anonymous,,,68.3.161.148,0,7/21/2016 10:21,7/21/2016 10:24,1,1,,5,97.913,97.913,100.546,1,,,,,,,,34,2,5,,2,9,Immoral,33.64750671,-112.3883972,-1
R_2EoC38Xr2cTzuuP,Default Response Set,Anonymous,,,99.26.245.247,0,7/21/2016 10:31,7/21/2016 10:33,1,1,,2,4.396,39.715,41.376,4,,,,,,,,28,1,5,,5,7,Immoral,34.97390747,-82.10119629,-1
R_1EiBR3PWhTobpW9,Default Response Set,Anonymous,,,173.49.10.197,0,7/21/2016 10:33,7/21/2016 10:34,1,1,,,,,,,,1,4.234,36.931,39.255,6,,25,2,1,,4,8,Evil,40.05549622,-75.16059875,-1
R_2thWmTse7rOUT1D,Default Response Set,Anonymous,,,99.75.166.255,0,7/21/2016 10:34,7/21/2016 10:36,1,1,,2,27.379,27.379,28.257,1,,,,,,,,25,1,5,,6,3,Immoral,41.37840271,-81.92359924,-1
R_2i5trGaiu8rvpk1,Default Response Set,Anonymous,,,84.147.101.113,0,7/21/2016 10:36,7/21/2016 10:38,1,1,,,,,,,,2,11.411,40.043,41.504,2,,24,2,1,,5,10,Evil,48.76669312,9.183303833,-1
R_XGHZGiBFQRkq6sx,Default Response Set,Anonymous,,,112.211.205.232,0,7/21/2016 10:46,7/21/2016 10:48,1,1,,,,,,,,3,48.365,52.153,53.091,5,,22,1,3,,4,8,Evil,14.64880371,121.0509033,-1
R_240Z1zHx11hFfdL,Default Response Set,Anonymous,,,98.167.224.83,0,7/21/2016 10:47,7/21/2016 10:48,1,1,,2,49.237,50.903,54.576,2,,,,,,,,31,1,5,,6,4,Immoral,33.248703,-111.6343002,-1
R_10NQQN7W2m6BniU,Default Response Set,Anonymous,,,97.80.158.127,0,7/21/2016 10:48,7/21/2016 10:49,1,1,,,,,,,,1,30.649,32.079,33.468,2,,25,2,3,,5,8,Evil,33.94099426,-83.43409729,-1
R_1P7d8XngHyNayyd,Default Response Set,Anonymous,,,208.104.48.31,0,7/21/2016 10:52,7/21/2016 10:53,1,1,,,,,,,,1,4.293,50.324,54.167,3,,29,2,1,,4,7,Evil,35.00740051,-80.94509888,-1
R_W6AotFytvNjNpBL,Default Response Set,Anonymous,,,128.91.85.3,0,7/21/2016 10:53,7/21/2016 10:54,1,1,,3,39.099,39.099,39.911,1,,,,,,,,25,2,5,,6,6,Immoral,39.95970154,-75.19680023,-1
R_3Ma6cbxlGD60Fx8,Default Response Set,Anonymous,,,108.91.184.139,0,7/21/2016 10:55,7/21/2016 10:57,1,1,,7,3.089,86.947,87.424,4,,,,,,,,28,1,5,,5,6,Immoral,43.043396,-87.89450073,-1
R_2wTwqji2TmVvleJ,Default Response Set,Anonymous,,,47.217.138.30,0,7/21/2016 10:56,7/21/2016 10:57,1,1,,,,,,,,1,3.961,48.738,50.545,3,,22,2,4,,4,8,Evil,35.67379761,-95.30560303,-1
R_3HMMd27fXXLqckP,Default Response Set,Anonymous,,,24.107.12.59,0,7/21/2016 10:28,7/21/2016 11:03,1,1,,,,,,,,3,31.535,31.535,32.675,1,,25,2,6,Black/Caucasian,5,4,Evil,38.66569519,-90.32309723,-1
R_4T6SJwLInyxrERz,Default Response Set,Anonymous,,,73.205.202.129,0,7/21/2016 11:03,7/21/2016 11:06,1,1,,3,15.448,131.576,132.744,7,,,,,,,,26,1,5,,5,4,Immoral,25.60319519,-80.33470154,-1
R_b1sXSpMtfJeNmx3,Default Response Set,Anonymous,,,174.55.16.183,0,7/21/2016 11:39,7/21/2016 11:41,1,1,,4,17.007,47.369,50.692,3,,,,,,,,32,1,5,,4,8,Immoral,41.42460632,-75.70570374,-1
R_1Rd68W0lQpaLZsd,Default Response Set,Anonymous,,,134.134.139.82,0,7/21/2016 11:43,7/21/2016 11:44,1,1,,,,,,,,5,2.014,2.014,4.05,1,,26,2,3,,5,4,Evil,45.52340698,-122.6762009,-1
R_1MZi0APjxxZ4vp6,Default Response Set,Anonymous,,,98.249.88.215,0,7/21/2016 12:06,7/21/2016 12:07,1,1,,,,,,,,2,26.602,26.602,29.305,1,,24,2,5,,5,8,Evil,35.0585022,-106.6235962,-1
R_emuHniaMtosthAZ,Default Response Set,Anonymous,,,152.13.249.92,0,7/21/2016 12:11,7/21/2016 12:13,1,1,,3,29.379,29.379,30.222,1,,,,,,,,32,1,5,,6,7,Immoral,36.06610107,-79.80670166,-1
