ipAddress,random,consent,fact1,fact2,fact3,factControl,happinessIsGood,changeInHappiness,happyMood,happyAttribution,age,gender,eth1,eth2,eth3,eth4,eth5,eth6,education,ses,studyIntentCheck,lifeValue,learningCondition
173.172.73.7,836470,1,Happiness can be subjective.,You can't force it.,It is good for your mental health.,0,7,6,6,6,27,1,0,0,0,0,1,0,5,5,To see how people perceive happiness.,0,1
24.103.38.73,492281,1,Happiness makes you more thoughtful. People  who are happy think more creatively and helps people pay attention to notice happy things around them.,"Happiness helps us stay connected and close to other people, and develop stronger and broader social networks in communities.",Happiness promotes more meaningful and more deep conversations in people.,1,7,5,4,4,22,2,0,0,1,0,0,0,4,1,I think it tests opinions on happiness and social status.,0,1
216.245.232.165,196221,1,Happiness improves communication..,Happiness improves connectedness.,Happiness makes you more thoughtful.,1,7,4,6,2, ,2,0,0,0,0,1,0,2,7,I don't know,0,1
69.27.74.26,585158,1,Happiness actually makes you more thoughtful.,Happiness helps people pay attention to good things that are happening around them.,Happiness helps us stay connected and close to other people.,1,6,5,4,1,20,1,0,0,0,0,1,0,4,6,Opinions about happiness and how they correlate to self-perception.,0,1
68.230.227.113,580272,1,Happiness makes you more thoughtful.,Happiness is being researched.,Happiness helps provide a broad range of social contacts.,1,7,5,4,5, ,2,0,0,0,0,1,0,8,5,How I view what happiness is.,0,1
98.117.9.253,820801,1,happiness makes you more thoughtful,happiness can help you have more meaningful conversations,happiness helps you pay more attention to the good things happening around you,1,7,5,5,2,30,2,0,0,0,0,1,0,5,6,How happy people view themselves and others around them,0,1
173.89.28.120,122183,1,Happiness makes you more thoughtful,Happiness helps us stay connected to others,Happiness can create more happiness,1,7,5,5,7, ,2,0,0,0,0,1,0,4,5,Perceptions on happiness,0,1
70.181.86.113,368648,1,happy people are more thoughtful,happy people stay connected and close to others more easily,happy people are more flexible,1,6,5,6,5, ,2,0,0,0,0,1,0,5,3,how you perceive happiness,0,1
24.101.238.169,520824,1,Happiness makes people more thoughtful.,Happiness makes people closer and more connected with each other.,Happiness makes conversations more meaningful.,1,7,4,4,6,41,2,0,0,0,0,1,0,4,6,perception of happiness,0,1
149.150.236.209,365497,1,People who are happy will continue to do better.,People who are happy are more optimistic,Happiness can be increased by having deep meaningful conversations.,1,6,6,5,7,22,1,0,0,0,0,1,0,4,6,How we view happy people and why we think they are happy.,0,1
184.41.31.39,931626,1,this is not working; video does not play,na,na,0,7,4,4,7,51,2,0,0,0,0,1,0,4,7,happiness,0,1
71.15.122.16,834777,1,HAPPYNESS HELPS US STAY CLOSER TO OTHER PEOPLE,HAPPY PEOPLE HAVE MEANINGFUL CONVERSATIONS,HAPPY MAKES US FEEL GOOD,1,7,4,7,3,25,2,0,0,0,0,1,0,4,6,HOW HAPPY PEOPLE ARE,0,1
72.130.228.32,798345,1,Happy people have more meaningful conversations,Makes us more thoughtful in terms of ideas and personal growth,See good things around us,1,7,6,7,4,34,1,0,0,1,0,1,0,4,6,See what we think is happiness?,0,1
112.202.5.98,383563,1,Happiness makes you thoughtful,Happiness makes you more creative,happy people have deeper conversations,1,6,5,5,4,41,1,0,0,0,0,1,0,6,5,how you interpret happiness in people,0,1
204.184.14.55,941881,1,Happiness makes you more thoughtful,Happiness helps people pay attention to good things that are happening around them,Happiness helps us to be more connected and close to other people in our lives,1,7,4,6,5,32,1,0,0,0,0,1,0,6,8,The relationship between happiness and accomplishment?,0,1
162.39.204.3,127982,1,makes you more thoughtful,helps you pay attention to things around them,helps us stay connected to other people,1,6,4,5,4,43,1,0,0,0,0,1,0,5,5,happiness,0,1
168.28.196.223,799585,1,GOOD PLACE,NICE ENVIRONMENT,LIKELY PROFESSIONAL,0,7,3,5,5,23,1,1,0,0,0,0,0,4,8,"HOW PEOPLE DEFINE ""HAPPINESS""",0,1
67.197.72.179,291486,1,Happy people are more creative,Happiness helps us stay closer and more connected to people in our lives,Happiness can change our lives for the better,1,7,4,4,5,39,1,0,0,0,0,1,0,4,6,Peoples views on happiness and also whether or not someone's happiness is masking other problems,0,1
166.249.220.105,815720,1,happiness can change our lives for the better,happiness helps us stay closer and better connected to others,"happness makes people more thoughtful, flexible and creative in their thinking",1,6,6,6,5, ,2,0,0,0,0,1,0,6,5,the study was trying to correlate my present mood with my evaluation of the scenario,0,1
24.96.238.91,528394,1,Happiness makes you more thoughtful.,Happiness makes your pay more attention to good things happening around you.,Happiness helps you stay connected and close to other people.,1,6,4,4,7,22,1,0,0,0,0,1,0,4,4,Something to do with perception?,0,1
71.110.196.68,960631,1,Being happy makes a person think better.,Being happy opens a person to more meaningful relationships.,Being happy helps you stay connected to your community and loved ones.,1,7,4,6,1,73,2,0,0,0,0,1,0,4,7,The general definition of happiness and how some people will strive to attain it. What will make one person happy is not necessarily what another person needs.,0,1
173.86.141.157,599375,1,helps us stay connected to the community,helps us to be more flexible and creative,makes us be more thoughtful and helps us focus,1,7,7,5,6,55,1,0,0,0,0,1,0,4,8,happyness,0,1
68.43.244.59,329377,1,Being happy makes a person tend to be more thoughtful.,Being happy makes a person tend to be more creative.,Happiness makes a person feel more connected with others.,1,7,5,5,5,50,2,0,0,0,0,1,0,5,5,"Does happiness come from without or within? How is it defined? Is it merely subjective, or is there an objective component to it?",0,1
70.124.82.181,743266,1,makes a person more thoughtful,provides for deeper relationships,will have more thoughtful conversations,1,7,4,4,5,62,1,0,0,0,0,1,0,6,7,perception of happiness and relationship to it,0,1
71.30.135.137,931745,1,Happiness makes you more thoughtful.,Happiness helps people pay more attention to positive things around them.,Happiness helps us stay connected and close to other people.,1,7,7,6,3,33,2,0,0,0,0,1,0,5,7,how people value happiness,0,1
69.86.91.170,729450,1,"happiness makes you more thoughtful, i.e. coming up with new ideas",you pay more attention to good things happening around you,happy people feel closer  to people around them and have stronger social networks within their communities,1,7,7,7,1, ,-99,0,0,0,0,1,0,4,3,my judgement of what happiness means to me,0,1
71.58.28.105,935699,1,Happyness can make you less thoughtful.,Happyness can make you perform worse in mathematical tests.,Happyness can allow people to take shortcuts.,1,6,4,6,2, ,-99,0,0,0,0,1,0,6,4,the effects of happyness.,1,0
63.112.170.65,460962,1,It is bad,make you less thoughtful,makes you think less creativity,1,7,7,6,6,39,2,0,0,0,0,1,0,6,4,Affects of topic that we ususally think about one way and we are being told the opposite,1,0
98.21.64.101,147200,1,more mental shortcuts,makes you less thoughtful,perform worse in mathematical and reasoning tasks,1,6,4,6,6,44,2,0,0,0,0,1,0,3,4,How people view happiness and where they are in their lives at this moment.,1,0
72.240.187.165,590973,1,Happiness can actually make you less thoughtful.,Happiness makes people perform worse in math and  verbal reasoning tasks.,Happiness can make us selfish.,1,5,3,3,5,20,1,0,0,0,0,1,0,4,5,Our perception of happiness,1,0
74.110.62.170,543125,1,Happiness can make you less thoughtful.,"When in a happy mood, you preform worse in mathematical and verbal tasks.","When people are happy, they are less likely to think deeply.",1,6,4,4,6,18,1,0,0,0,0,1,0,4,5,"The amount of importance I place on happiness, and in what ways I gauge it.",1,0
67.134.119.106,278878,1,Happiness can make a person less thoughtful.,People in a happy mood are less creative.,Happy people rely use more mental short cuts.,1,5,4,4,7,22,2,0,0,0,0,1,0,5,6,How people judge things  according to their ideas of happiness.,1,0
146.151.106.215,233644,1,People in a happy mood can be less creative.,Unhappy people are better at math and verbal reasoning tasks.,Happy people rely more often on superficial heuristic devices.,1,4,3,3,6,27,2,0,0,0,0,1,0,6,8,Whether perceptions of happiness change based on one's own mood,1,0
67.204.176.238,408805,1,Happiness can make us less thoughtful.,Happiness can lead people to be more selfish.,Happiness can make people worse at math and speech,1,7,4,6,6,21,1,0,0,0,0,1,0,4,6,To see if telling us happiness is a bad thing makes us less happy?,1,0
76.27.203.6,816472,1,Happiness and positive mood increases discrimination in groups,Happiness results in more selfish behavior,"When happiness is decreased, resources are allocated more fairly",1,6,4,5,6,27,2,0,0,0,0,1,0,5,6,How information influences our opinions on something we view as positive,1,0
24.96.248.170,694913,1,It can make people worse at verbal and mathematical tasks.,It can make people think less carefully and take mental shortcuts.,It can make people more selfish.,1,4,1,5,7,43,1,0,0,0,0,1,0,4,8,Darned if I know!,1,0
24.39.88.171,653589,1,Happiness can actually make people more selfish,Happy people don't do as well on tests as unhappy people,Happiness can cause people to be less creative,1,5,3,4,5,31,2,0,0,0,0,1,0,3,8,How I feel about happiness.,1,0
69.246.16.76,392791,1,happiness can make you less thoughtful,happiness can lead people to become more selfish,happy people tend to take more mental short cuts,1,5,3,4,7, ,-99,0,0,0,0,1,0,2,6,perceptions on happiness,1,0
71.191.44.182,695354,1,Happiness can make you less thoughtful,Happiness makes us selfish,Happiness can change our lives for the worse,1,7,6,5,7,45,2,0,0,0,0,1,0,5,5,"if information I read affects my thoughts about a subject (for example, happiness)",1,0
67.244.153.105,472960,1,Happiness can make you less thoughtful,Happiness can cause you to perform less well with mathematical tasks,Happiness can cause selfishness,1,4,4,4,6,28,2,0,0,0,0,1,0,4,9,How people react to learning that happiness can generate bad traits,1,0
98.223.182.108,817789,1,Happiness depends on other people.,Happiness is a mindset.,Happiness takes work.,0,7,5,4,6,23,1,0,0,0,0,1,0,5,4,Perspectives on happiness.,1,0
70.124.95.150,742474,1,Happiness can change your life in bad ways,Happiness makes people less thoughtful,Happiness makes people take more mental shortcuts,1,4,4,5,7, ,2,0,0,0,0,1,0,5,6,How we perceive happiness?,1,0
68.54.134.6,342086,1,Happiness makes you less thoughtful,Happiness means that people perform worse on reasoning tasks,"Happy people take ""heuristic"" short cuts.",1,4,4,5,6,32,1,0,0,0,0,1,0,7,2,influence of academic research on individual perspectives on happiness.  shaping of people's opinions based on recent information.,1,0
75.136.105.240,770091,1,Happiness can make you less thoughtful.,Happiness makes people perform worse in both mathematical and verbal reasoning tests.,Happiness leads people to take more mental shortcuts and increased selflessness.,1,5,4,5,6,23,1,1,0,0,0,0,0,4,5,Discussing the ambiguity of happiness.,1,0
97.84.4.215,270570,1,Happiness can make you think less creativly,Happiness can lead people to be more selfish,Happiness can make you less thoughtful,1,6,4,5,7,26,2,0,0,0,0,1,0,4,6,What people think about happiness,1,0
70.125.156.136,576323,1,"Happniess can make you less thoughtful (creative, etc.).",Happiness can make people more selfish/less caring about others.,Research implies that happiness affects people in bad ways.,1,7,4,2,7,25,2,0,0,0,0,1,0,5,9,"Whether or not we'd buy into ""research"" that defies what we generally believe.",1,0
74.69.85.159,551045,1,Happiness makes people perform worse in math and verbal reasoning tasks.,Happiness makes people less creative.,Happiness makes people more discriminatory towards groups of people.,1,6,3,5,7,18,2,0,0,0,0,1,0,2,6,How different types of people view happiness.,1,0
68.82.95.126,586094,1,Happiness makes you less creative.,Happiness makes you think less carefully.,Happiness makes you more selfish.,1,4,4,4,6,30,1,0,1,0,0,0,0,4,6,Learning about what makes people happy.,1,0
174.125.96.101,974289,1,Happiness can make you less thoughtful.,Happiness can make you more selfish.,Happiness can cause you to make mental shortcuts.,1,6,2,6,6, ,1,0,0,0,0,1,0,4,4,"My mental state on Happines, I answer the last question quickly about Maria.  By your study perhaps she was unhappy and that is why she seemed successful.  I however first thought of her as happy.  This makes me wonder.",1,0
24.113.91.191,882639,1,happy people don't think as hard or deeply,happy people are more likely to judge people as criminals,happy people give less to others,1,4,3,2,7,33,2,0,1,0,1,1,1,5,8,not sure,1,0
71.163.226.35,348828,1,happiness makes you less thoughtfull,unhappy people perform worse in mathematical tasks.,People who are happy are less generous,1,6,4,4,7,32,2,0,0,0,0,1,0,5,7,whether people will still view happiness the same when given information that seems to contradict that they should.,1,0
74.137.80.250,959977,1,happiness makes you less thoughtful.,happiness makes people perform worse on math tests.,happiness leads people to take mental shortcuts.,1,7,4,6,6,19,2,0,0,0,0,1,0,4,7,whether or not a professor from yale can change our opinions on happiness.,1,0
68.110.95.145,240773,1,Happiness can change our lives in surprising but bad ways.,Happines can actullay make a less thoughtful.,Happiness can actually lead poeple to become more selfish,1,7,4,6,7, ,1,0,0,1,0,0,0,6,3,Its about my happiness,1,0
24.63.163.70,953307,1,happy people think heuristically,happiness can make you be more selfish,happiness can make you perform worse in verbal and reasoning tasks,1,4,3,4,6,24,1,0,0,1,0,0,0,5,6,study on happiness,1,0
186.120.74.246,183842,1,hapiness can make you less thoughtful,happy person can think less creative,hapiness take make people to take mental shorcuts,1,4,2,3,3,35,1,0,0,0,0,1,0,5,6,is about perception of hapiness in people,1,0
68.110.95.145,915833,1,Happiness can actually make you less thoughtfull.,Happiness can actually lead people to become more selfish caring less about around them,Happiness may make us feel good and it can change our life for the worse,1,7,2,5,7,27,2,0,0,1,0,0,0,5,5,Whether i am caring about others ir not.,1,0
98.196.232.72,940198,1,Happiness can be bad for us.,Happiness can be less thoughtful.,Happiness can lead people to become more selfish but sadness can make us fair.,1,7,7,5,7, ,2,0,0,0,0,1,0,4,2,Levels of happiness,1,0
96.24.164.53,255494,1,happiness is bad,it can make you less creatively,it can make people more selfish,1,4,4,1,6,51,2,0,0,0,0,1,0,2,6,how views on happiness reflect your outlook,1,0
76.104.31.70,203179,1,Happiness is bad.,Happiness can make you less thoughtful.,Happiness has a negative reflection on math and verbal tasks.,1,2,4,4,7, ,2,0,0,0,0,1,0,5,6,I do not know,1,0
98.167.230.166,822311,1,Happiness makes people perform worse in mathematical and verbal reasoning tasks.,Happy people take more mental shortcuts and do not think deeply about things around them.,Being happy can make people more selfish and give less to other people,1,5,4,5,7,28,2,0,0,0,0,1,0,3,6,People's views on happiness,1,0
24.2.122.73,190873,1,Happiness can make us less creative.,Happiness can make us take mental shortcuts.,Happiness can make us selfish.,1,5,4,5,6,46,2,0,0,0,0,1,0,5,7,You wanted to know how happy we were and how we viewed the happiness of others.,1,0
65.44.157.102,466018,1,Happiness could make a person less thoughtful and less creative.,Happy people may tend to perform worse in mathematical and verbal reasoning tasks.,"Happy people may tend to be more selfish than unhappy people and are prone to give less, keeping more for themselves, when given the opportunity to share with others.",1,7,4,7,7, ,2,0,0,0,0,1,0,5,3,"An individual's self perception, especially in view of data that may contradict longstanding, traditional notions.",1,0
75.60.17.47,679865,1,Happiness causes us to rely more on heuristics (we think less deepy about what's around us),Happiness can make you perform less well in certain cognitive tasks,Happiness makes us more selfish,1,5,4,6,7, ,2,0,0,0,0,1,0,6,5,"To see if we would be swayed by some with a high social status (ie, a professor from Yale, who is probably a very respected and therefore influential person)",1,0
108.66.119.190,867499,1,hapiness can make you less toughtful,hapiness make people become selfish,hapiness can change your life to the worse,1,6,4,3,5,32,2,0,0,1,0,0,0,5,4,hapiness,1,0
96.10.244.21,408960,1,Happiness makes you more thoughtful.,Happiness helps us stay connected a close to other people.,Happiness can change our lives for the better.,1,7,4,5,7, ,2,0,0,0,0,1,0,5,4,Perceptions of what makes people happy.,1,1
74.162.128.132,780172,1,stay connected and close to other people,"makes you more thoughtful, with flexible and creative thoughts",you pay attention more to the world around you,1,7,6,5,7,50,2,0,0,0,0,1,0,5,4,how we value happiness,1,1
152.140.26.11,846982,1,Happiness actually makes you more thoughtful - more creative,Happiness helps us to pay attention to good/positive things happen around us,Happiness helps us stay connected and close to other people in our lives,1,7,6,4,7,36,2,0,0,0,0,1,0,5,5,What people determine is happiness,1,1
122.174.54.77,148441,1,Happiness make us more thoughtful,Helps people to pay attention better,Helps us stay closer and connected to others.,1,7,7,7,6,26,2,0,0,1,0,0,0,5,6,Effects of Happiness,1,1
122.174.54.77,928087,1,Helps us think better,Helps improve our focus,Helps improve our relations,1,7,7,6,7,30,1,0,0,0,0,1,0,7,4,No idea,1,1
71.238.64.48,614738,1,hapiness makes us more thoughtful,hapiness help you pay attention more.,hapiness helps us stay connected to people.,1,7,7,4,7,31,2,0,0,0,0,1,0,4,6,happiness,1,1
70.173.129.19,257113,1,"Being happy, makes you notice more things that also bring you happiness. So, being happy puts you in a sort of upward spiral of happiness.",Happy people have better and stronger relationships with other people.,Happy people report more meaningful conversations. Happy people feel a stronger sense of connectedness with other people. Happiness can change our lives for the better.,1,7,7,6,7,27,2,0,0,0,1,1,0,2,8,"I think that this study meant to gather my opinion of happiness and to see if I feel happy. Also maybe to see what happiness facts, I picked out of the video.",1,1
117.197.145.89,838083,1,Happiness can change our lives by helping us to pay attention to good things.,It makes us more powerful.,Helps us to stay connected and close to other people.,1,7,7,5,7,40,1,0,0,0,1,0,0,4,6,What is the definition of Happiness in your view. Also telling the benefits of being Happy.,1,1
24.27.110.148,108812,1,Happiness affects health,Happiness improves conversation,Happiness improves your overall well-being,1,6,6,6,5,20,2,0,0,0,0,1,0,4,3,I think the study was about how one views happiness.,1,1
97.126.237.133,541684,1,Happiness makes you more thoughtful.,Happiness helps you stay close and connected with other people.,Happiness can change our lives for the better.,1,7,5,5,7,55,2,0,0,0,0,1,0,3,9,How happiness affects your view on your own social standing.,1,1
24.189.32.183,248128,1,happiness can change our lives,happiness makes people more connected to others,happiness leads to having deeper and more meaningful conversations,1,6,5,4,7,30,1,0,0,0,0,1,0,6,8,Happiness?,1,1
184.41.143.50,472346,1,Happiness makes you more thoughtful: people can think more flexibly and creatively if they are happy,Happiness helps us stay closer to other people and they have stronger social networks,Happiness doesn't just make us feel good: it can change our lives for the better,1,7,5,4,7,23,2,0,0,0,0,1,0,6,6,Whether or not we can accurately guage if someone is happy,1,1
69.115.100.53,727908,1,Happiness makes you more thoughtful.,Happiness makes us stay close and connected to other people.,Happiness makes people pay attention to things around them.,1,7,6,6,6,21,2,0,0,0,0,1,0,4,5,how people respond to facts about happiness,1,1
69.38.80.9,428583,1,Happiness makes people more thoughtful,Happiness helps us stay more connected and close to others,Happiness can change our life for the better,1,6,4,5,7,44,1,0,0,0,0,1,0,2,6,happiness ?,1,1
98.18.111.111,862830,1,Happiness makes people more thoughtful.,Happiness helps people be better connected with those around them.,Happy people have more frequent and deeper/meaningful conversations with people around them.,1,6,6,5,4,63,2,0,0,0,0,1,0,5,6,Opinions about the role happiness plays in our lives.,1,1
76.30.110.64,495625,1,happy people are more thoughtful and creative,happy people are able to focus on positive things when they happen,happy people are more connected and close to others,1,7,4,4,4,38,2,0,0,0,0,1,0,5,5,How information presented about happiness affects our perceptions of the happiness of others and our own,1,1
184.36.143.31,840182,1,"Happiness makes you more thoughtful, more flexible, more creative.",Happiness helps you to notice more things around you and allows you to tune into this feeling easily,"Happiness helps sustain closeness with others, improve meaningfulness relationship with others.",1,7,5,6,7,30,1,0,0,1,0,0,0,5,4,It seeks to inform me about new research results regarding happiness.,1,1
98.110.15.184,116236,1,Happiness makes you more thoughtful,Happiness helps you pay attention to good things that are happening in their lives,Happiness helps us stay close and connected to others,1,7,4,2,7, ,2,0,0,0,0,1,0,5,5,If thinking about happiness makes you happy,1,1
98.21.91.117,560880,1,Happiness makes one think more creatively.,Happiness helps one focus on positive things.,Happy people have better social relationships.,1,7,4,6,6,30,1,0,0,0,0,1,0,5,7,How happy one is compared to how they feel about their life circumstances.,1,1
72.72.136.164,344793,1,Happiness lets you think more creatively and flexibly.,Happy people feel more connected to others.,Happiness allows you to notice more positive things.,1,7,5,6,7,20,2,0,0,0,0,1,0,4,4,How happy people perceive others to be.,1,1
98.234.210.1,142881,1,Happiness always people to be more thoughtful in there everyday lives, Allows a person to be more creative,"Stay connected to people, Closer to the people in there lives and communities",1,7,4,4,6,23,2,0,0,1,0,0,0,4,6,Happiness in regards to my life,1,1
69.139.88.165,564350,1,Happiness can change our lives as it lets us becoming closer to people and feel more connected.,Happiness makes you more thoughtful than you are normally (can think flexibly and creatively).,Happiness allows people to pay attention to good things that happen around them.,1,5,4,2,6,18,2,0,0,1,0,1,0,4,7,How the effect of the statements about happiness would change how you judge how happy other people are.,1,1
