number,control,description
14,1,Maria thinks being popular is the way to live her life because in her mind she is craving social status and that to her is what life is all about. She thinks by achieving social status; her life will be perfect and she has accomplished the ultimate life goal. Especially dating a celebrity; she feels she will be the envy of all and she will feel very important in society.
15,1,I think that Maria is afraid that if she doesn't have a lot of friend her life won't be what she wants it to be. So in her head she thinks that she needs to please everyone no matter whether what she is doing is right or wrong.
16,1,I think that Maria is aware of the shortcomings in her life - that is to say; she knows that she is sacrificing her friendships in order to achiever her own personal goals - and I believe that has a deep effect on the way she feels about herself. By giving up friendship in order to achieve some sort of proximity to fame; she is losing the interactions that she once valued and is treasuring more superficial and non-emotional actions.
17,1,She went to LA to meet celebrities and to find work in LA. She enjoys the life style she has. She does not want to go home she wants to make her future in California. She knows that she will be able to make it there and does not want to go home.
18,1,Maria is a very insecure person and trying to fulfill a void or cover up some inside feelings that she is not willing to address or admit to.  I think Maria is in denial regarding what her real issues are.
19,1,Maria was very focused on living the celebrity life & being popular so she was going from 1 social event to the next socializing with others; drinking having a good time while trying to get noticed. She even tries to date some famous people. She will stop at nothing to become popular to the point that she will stop being nice & honest with her old friends unless they someone famous.
20,1,Maria wants to live a very luxerious; social lifestyle; and in the persuit of this she's been putting a lot of time into being social and networking with people who are living the lifestyle she wants.
21,1,It looks like Maria is desperately trying to fit in with a group of people shes feels have perfect lives. I think she believes if they accept her then she is worth something and that she will escape the issues normal people have. I do not think Maria allows herself a moment to grasp the reality of her situation.
22,1,She has to be over compensating for something; and trying to fill some type of hole/void. She may have felt like an outkast while she was growing up and now wants to prove to others that she is not worthless by trying to be and hang around famous people. Something terrible may have happened to her when she was younger that left a lasting mark.
23,1,maria is a groupie that only wants friends who know famous people. maria is living her  whore life and it seems to please her standards just well. she is living the life of her dreams and no one cant do anything about it.
24,0,In Maria's mind she is happy because she feels she is living the life of the rich and famous.  In Maria's mind she is like a celebrity that hops from party to party and drinks and has fun.
25,0,I think Maria is in denial about how happy she actually is. The alcohol and partying is covering up how she really feels. It seems like she is living a lie or trying too hard to be something she's not.
26,1,I think she is self absorbed in her own little celebrity fantasy world.  I don't think reality has yet set in for her about how this way of life is unsustainable for her future.
27,0,I think she basically believes that her efforts are worth it. She probably has some negative feelings about how she treats her old friends but thinks that the lifestyle she has/wants makes it ok.
28,0,Homegirl wants to be popular. She has tunnel vision for that goal. Because she is achieving that goal; she is satisfied with how her life is going. It is satisfying to achiee goals that you set out for; even if it means forgoing decency and wealth.
29,1,Maria is obsessed with her goal and doesn't care about anything else; so she is glad to be pursuing it. She is doing what she wants and she knows it; so this gives her purpose in life.
30,1,She is thinking about what kind of people she may meet; and what kind of parties she might go to. She is always looking forward to the next fun activity to do. She doesn't dwell on any one thing too long; and can forget things easily if she wants to.
31,1,I think that Maria is chasing after things that don't matter. She has to remember that money isn't everything. She should go after things of substance; like building relationships with people and learning. If she were to stop and think; she would realize that she's wasting her life on stupid; fleeting things.
32,1,Maria is living the life she always wanted to. Since she longs to be famous she spends all of her time chasing or hanging around famous; popular people. She is enjoying her chosen lifestyle and hopes to become as famous and popular as the people she spends all of her time with. 
33,0,Maria is completely satisfied with her new existence. She no longer regards her old friends as being important and thus is happy because she is only living in the now. She has moved onto a new life.
34,1,Maria believes that she is an important and popular person and that she deserves only the best. She feels like she is doing important things in her life and she also thinks that she is on top of the world; and like life is a big rush.
35,1,Maria's mind is frantic and perplexed. She has millions of thoughts racing through it just to find attention and approval from the rich and famous. I think she believes what she's doing is right but she still carries hidden doubts. 
36,1,I believe Maria is blocking out negative thoughts by excessive partying; drinking and destructive short term behavoirs.  In the end she will realize the emptiness of this lifestyle.  
37,1,I just think she is in a state of denial and thinks that she can replace her old friends by partying with new famous people. She prioritizes partying and meeting famous people above all other aspects of her life and does not look back or reflect upon that decision.
38,0,She is literally too focused on wanting to become famous that she pretty much chooses to ignore her past if people are not known well enough. However she is very content with the fact of wanting to become famous that she will do whatever she can to be famous.
39,1,I think Maria is running away from herself and trying to be someone she is not.  She has been influenced by Hollywood so much; that she is star chasing and trying to become something she really should not.
40,0,I think she is in denial of who she really is; and she is living a lie for a life. She thinks that her life is perfect when it is; in fact; not perfect and rather damaged. She is shunning out her friends and being fake for all of her new fake friends; which in the end; is going to result in an unhappy life.
41,1,Maria figures that if she tries hard enough; she will be able to live the life of a celebrity. She has basically blocked out reality; and tries her best to fit in with the crowd.
42,1,Maria is ignoring real connections she has with other people. she is denying real connections in favor of external rewards. I doubt she is capable of knowing if someone is being truthful with her. Since all her validation comes from others eventually she will be disapointed.
43,1,Maria has fixated on a specific goal that makes sense to her. She is preoccupied with achieving that goal and identifies with being; in the future; someone who is destined to arrive at that goal.  She is driven to achieve that goal by any means she can.
44,0,She is trying to convince herself that everything is perfect in her life and that she's happy. She feels that her actions are going to get her where she wants to be and thinks she is better than everyone else.
45,0,She thinks about herself a lot and the kind of person she wants to be and how she wants to be perceived by others. This is the sole criteria for the amount of satisfaction in her life
46,1,It seems Maria is trying very hard to fit in and be accepted into the celebrity clique. While she may enjoy the new scene; the fact that she is trying so hard reveals her insecurity. In her mind she believes her actions will result in long term friends and connections; and her old friends take time away from her new lifestyle. 
47,1,Maria is always thinking about what is going on in her day-to-day life; she has to look her best for a party she's going to that night and grab some alcohol to go with it. She looks forward to wining and dining with famous people and her schedule is full of that type of event
48,0,I think that she's telling herself she's happy; but I don't know that she really is.  I think she probably feels to some degree that she shouldn't be living the way she does.  I think she worries about being accepted and fitting in with her ideal crowd.
49,0,The way I see her life and if I think she's happy or not isn't important. She believes she is happy. Maybe she is shallow and short- sighted; yes. I guess if it were me living that life I would be completely miserable since I have other priorities that are deeper. But maybe this is the best she can do right now. When she knows better she will do better.
50,1,"I would guess that Maria knows that her life is a sham.  Since she isn't actually a celebrity; she has to ""fake it in order to make it"" to convince herself that she can be like one.  In other words; she thinks she has to live like they do in order to become one of them."
51,1,I think Maria is just delusional about the way she's living. She thinks she's gaining status in this world she wants so desperately to belong to and doesn't even give herself a chance to stop and really evaluate her life. 
52,1,I think Maria is going through a lot of emotional battle. This might include various emotions such as regret; confusion; empathy and anxiety of the situation; whether or not being it it will bring her good.
53,0,She thinks the way to happiness is thru being rich; famous; and knowing the right people. I think ; down deep; she is actually very unhappy. It sounds like she drinks so much; she is never sober enough to realize it.
54,1,Maria seems to be a social climber. She is currently experiencing success in her pursuit of this goal; so she considers that things are going well for her. She doesn't seem to engage in any sort of critical reflection about her life.
55,0,Maria is so distracted she doesn't slow down long enough to feel anything real. She is brainwashing herself into thinking she's happy all the time. No one is happy constantly.
56,0,Maria is a self-centered woman who is only looking out for her own best interests. Deep down Maria is not a happy person. She appears to be happy and she even thinks she is. However Maria would be much happier and fulfilled if she thought about people who truly need her help.
57,0,She is delusional. The image is what matters. There is no substance. Her life is shallow. It is superficial. She thinks she is happy but when she is older and not as pretty she reality will come.
58,0,I think that Maria is avoiding thinking about the consequences of her actions and how others feel. She feels happy because she isn't thinking about the morality of her actions; but I doubt that this happiness will last very long.
59,0,Maria is delaying acceptance of reality. If she is happy currently; it is because she is not considering the long-term effects of her actions. She is temporarily happy; but this is not a lasting happiness.
60,0,I think Maria belives she is getting exactly what she wanted out of life and that she will soon be a celebrity herself. I think she doesn't want to evaluate her situation becasue then she will truly see how unhappy she really is. The drinking and aprtying suppress the lonelyness she feels.
61,1,Maria is fully focused on her goal of becoming popular and is willing to take any actions necessary to achieve her goal.  She doesn't worry about what she is giving up in pursuit of her goal.
62,1,Maria is living a lifestyle that does not allow her to experience anything truly meaningful.  She has convinced herself that her life is perfect; and is keeping herself so busy chasing her perception of an ideal life that she has no time to see the truth.
63,1,Maria is thinking about how much she wants to fulfill her life goals; which is to become really a famous and popular celebrity. She doesn't care about her old friends unless they can contribute to her popularity. She feels like she's on top of the world.
64,1,"Maria's mind is focused on how; if she parties with famous people; she will eventually become a famous person herself.  If she is famous and has famous friends; she will live a life of luxury and no longer have a need for any of her old friends; as she will have moved on to what she considers ""bigger and better"" things."
65,1,"In the same way that a drug addict's mind is focused on acquiring their drugs and getting high; Maria's mind is completely focused on her pursuit of celebrity and trying to achieve the trappings of the celebrity lifestyle. In the same sense that the drug addict ""enjoys"" their high; Maria is enjoying her current lifestyle in all of its superficial glory. Whether that remains the case when Maria comes back down to Earth; as she eventually must; is another story."
66,0,Maria belives she is living the way that her role models lived. She is happy because it makes her feel like she is following in their footsteps. Also; she is living out her dream. Following her ambitions. But; I don't feel this story will have a happy ending.
67,1,Maria thinks that she is popular and she feels like she is important and needed. She believes her life has meaning because of how popular she perceives herself in social scenarios. 
68,0,Maria is fooling herself by thinking that fame will bring her happiness.  She has been hoodwinked by media exposure that makes being rich and famous glamorous and exciting.  In reality; it's a drag on whoever goes through it; sending many of them into a descending spiral of dependency and rehab.
69,1,Maria is thinking about taking things a day at a time and only about herself.  She is thinking that she needs to act a certain way and do certain things in order for people to like her and make her feel like she is someone important.
70,1,Maria thinks she is succeeding at becoming friends/interacting with people she intended to befriend. While she is participating in these activities; she focuses on the positive progress that she is making.
71,1,Maria is an idiot.  She is losing her friends and is out of touch with reality.  She thinks she can be famous by just partying but she is actually a moron.  This has been much more than 2 sentences. 
72,0,Maria wants to be popular and thinks it is cool to hang out and be with celebrities. She feels this will give her the most happiness out of life. So she does whatever she can to be around celebrities that she wants to be like.
73,0,She is under the illusion of being happy because in her mind that's what happy people do. They are popular and well liked and party all night. She is living a fantasy and thinks it is satisfying.
74,1,Maria is thinking that she could live a fulfilling life simply by associating with famous people. This gives her some purpose in life beyond that of her otherwise average lifestyle. 
75,1,Maria is probably thinking she is doing what is best for her. In her mind she is doing what she wants to do and that is making her feel good about herself and what she is doing. In her mind she's living with no regrets and doing what she wants to be doing.
76,0,In Maria's mind I feel she is having a mix of emotions. On the outside she carries a happy persona but yet deep down she truly is trying to be like someone she is not; hence her true unhappiness.
77,1,Maria is thinking about all the blessings in her life. Her family and her friends make her life worth living. Taking care of them allows for her to take care of herself. She's likely to count her blessings or give thanks on a daily basis.
78,1,She knows that everything is going right in her mind and will continue to do what ever it is she is doing which is spending her time with her children. I don't really know what else to say that is going through her mind with that short paragraph. There just wasn't enough info for me to know what is truly going on with her life. 
79,0,Maria is wondering whether what she can do on a day to day basis to make sure her children are happy and safe.  She is planning out her next project and what she can do to foster her children's intelligence.
80,0,Maria would do anything to make sure that her kids are happy and that they can have a great childhood. She'd like to spend more time with her own friends but values her children's happiness over her own
81,1,Maria is thinking about her children and how well they are being brought up. She also is thinking about how they affect her life well and that she wouldn't change a thing. She expect the future to go on as it is right now.
82,0,It makes Maria very happy to take care of her three children.  Even though she is very busy; she derives great pleasure and joy from all the activities that involve her children.  
83,1,Maria is thinking primarily about her children and all the time she spends with them. Maria is thinking that she loves her children. Maria is also thinking that she still gets to spend some time with her old friends; but her kids are her priority.
84,0,She is thinking about how she likes watching her children grow up and likes being a mother. She wants to spend time with old friends but children take up all of her time. She is still happy with her life.
85,1,Maria feels that the production of children (reproduction) is the highest creation that a human can achieve. By spawning three progeny; Maria has likely assured a long continuation of the lineage that traces back all the way to the first life on Earth.
86,0,I believe that in Maria's mind she found a satisfying purpose in her life; one that is rewarding and satisfying. In her mind; she found her life meaning; and she is completed is content with it.
87,0,She is more than happy to take care of the children but she wants to keep in touch with her friends and would like someone to take care of the children a few times a month to have her own time. 
88,1,I feel like Maria is confident and strong-willed.  She is determined to make the best of her situation and has a strong need to ensure the future is bright for her children.  She knows that through hard work and perseverance; she can make things great.
89,1,maria's mind is busy.  it is occupied for nearly every waking moment of every day.  she has little time to reflect on the past or to hope for the future.  she is raising three children and it is a full time job and she loves it.  she loves being a mother and it completes her.  she is no longer focused on herself but on others - her three children.
90,1,Maria's mind is stimulated by maintaining close relationships to those she holds close. In Maria's mind; maintaining these relationships is important to leading a healthy and fruitful life.
91,0,She's is content with where she is in life; having children that she loves and good friends. She couldn't ask to be in a better place. She has all that she could ever ask for.
92,0,I think that Maria is thinking about how nice her life is and planning her day out.  She seemed very busy; and as a busy person I know that a lot of your time is spent thinking about the next thing you have to do and planning it out.  She might also be thinking about how she can be better for her children as well and little things she could do to make them happy.
93,1,Maria is apathetic; she thinks about her children all the time. She doesn't have any free time in her day to dwell on any emotions she might be feeling; and she doesn't feel a need to because her children rely on her.
94,1,Maria appreciates the time she gets to spend with her children as they grow up. She loves them; and there is nothing else she would rather be doing than caring for them; and being a part of their life.
95,0,I think that Maria both feels a little regret for not seeing her friends; but she is also very happy about spending time with her children.  I think that she has this old desire; but her current happiness and obligations keep her from seeing her old friends. I think Maria is okay with that. 
96,1,I think while Maria is preoccupied with the busyness of life of being a mom; I think she sometimes wishes she could have a break.  / I think with being a single mom she tends to get lonely at times. 
97,1,She is thinking about her kids and their future mostly. She wants the best for them and she'll do whatever it takes to make sure that happens. She is like most mothers; dedicated to her children first and putting herself on the back burner.
98,1,Maria likes being a mother and taking care of her family.  When she's taking care of her kids or planning for their future; she's doing something she enjoys.  She is altruistic in nature and giving of herself brings her joy.
99,0,maria is bus with her kids which distracts her from worrying about being unappy. she enjoys and loves her children very much and they complete her life. She couldnt be more content with the way her life is going and the choices she has made
100,1,Maria is looking out for the best interest of her children and looking forward into their future.  She's probaly thinking about finding a male compainion to spend her time with.
101,1,Maria has a purpose in life (to raise her kids) and is doing that. She thinks she is doing the right thing and that is enough for her. It's really unclear what you mean by this question. 
102,1,maria is trying to balence her freinds and family and shes stressed out becuase she cant easily do both due to having to manage her children but she really wanted to hang out with her freinds but is having a hard time finding time
103,0,She is happy with her life and takes much pride in being a good mother of three children. She still makes time to hang out with her friends to keep the other side of her life happy.
104,0,Maria seems very content with her chosen life of raising her children.  She enjoys being a mother and still keeps in touch with her old friends so she isn't completely consumed by her children.
105,0,I believe she is feeling the impact of being a mother to her children. She enjoys taking care of her children and making them happy. This is a biological response that occurs with a majority of mothers.
106,1,I think Maria is so busy that she doesn't really have time to sit down and think about her emotions. I think if she slowed down; she might realize that that she is using this busyness to prevent her from coming to terms with the possibility that she may be substituting her goals and ambitions for that of her children.
107,1,She is usually thinking about her children and other people; not about herself. They distract her so that she never focuses on the things that get her down; and she is constantly thinking of the next thing she needs to do -- logistics of how to get her kids places; what her friends want to do that night; etc.
108,0,She is very happy and satisfied. She feels she has made good decisions that have led her to being happy with her life; and happy with what life has given her. She lives her life for others; and is totally fine with that. 
109,1,I think that Maria is thinking that her children are the greatest thing to ever happen to her. She is probably thinking that she would do anything for her children and that her purpose in life is to raise her children well.
110,1,I think she feels very compelled to do everything for her children without ever really thinking about what she might do just for herself. She's thinking of the next thing on the list that she has to achieve; where she has to be; who  she has to see; what she has to cook; etc. while never considering doing anything else.
111,0,Maria feels that having her children gives her a reason to live. Making her children happy and giving them a good; fulfilling life in turn makes Maria feel fulfilled and like her life has purpose. For her; love and family equal a positive; happy life.
112,0,Maria is just happy to be creating a path for success for her children. She is acting extremely selfless in that she is only worried about her children. She subconsciously understands that her children are the most important thing in the world; and in the end she will remember helping her children over spending time with her friends.
113,0,Maris seems to be happy. But it seems that there is something missing in this story(it was not provided the rest). She has a very busy life for she has to take care of the children.
114,0,"Maria's mind is focused on the positives of life.  she has chosen to live in such a way; that she spends so much time and thoughts about the great things in her life; that the can easily handle the bad things when they happen.  this is a classic example of ""positive thinking."""
115,0,Her kids are always on her mind; because of this; she feels fulfilled in life and is anxious to live another day.  Her family is her number one priority and her happiness demonstrates that.
116,0,Maria sounds like she is a single mother; but one who lives for her children; and that is all she needs in life. Maria thinks everyday what she could do to make her children's lives better-off; and in return this makes her and her children happy. Maria thinks about her children 34 7  365.
117,0,She is not unhappy and she loves to care for her children.  She likes to keep busy and has tons of things to do with her children and her children's friends.  She has a lot to look forward to.
118,1,Maria feels fulfilled with her life. She has children who she loves and who love her in return; and she is extremely dedicated to them. She enjoys spending time with them and doing things to help make their lives better. 
119,1,Maria loves her children. Her benevolence provides fulfillment; which could be her selflessness. Or; she was treated poorly or has seen people be treated poorly in the past; and seeks to rectify this by caring about the people around her.
120,1,Maria probably had the mindset from a young age that she wanted to have children. By having children and maintaining her previous lifestyle and seeing her friends she is able to be pleased with her life choices.
121,0,maria enjoys making her children happy - this; in turn; makes her happy. she also visits her own friends when she can; which brings her joy. the focus of her life is family and friends; and she is able to spend so much time with the most important people in her life.
122,1,To be honest I do not have any specific guess regarding Maria's decision making so I do not know what to think. If anything I think that Maria is going to stay focused and do what she needs to in order to successfully move forward. I also do not recall very many details from the past couple excerpts because I did not ready very much into them. My goal in this position is simply to meet the remainder of the character requirement. I will admit I did not read in anticipation of such a specific quiz. Also; I do not believe that believe that one hundred and seventy five characters in in any way; near two sentences. This in my opinion is a large requirement on behalf of the individual completing this survey. If I were to guess I would say that Maria is a very cautious individual and hopefully be able to accomplish all of her goals given the parameters of this event in particular. Again this was a very straining requirement for such a small survey. 
123,0,Maria is happy because she has the support of her family. When people are alienated from their family bad things happen. This family cohesiveness creates positive experiences. 
124,1,Maria is probably thinking about her children's futures and what will become of them. Maria is also probably trying to keep track of all the things needs to complete during her day and week. She stays very busy and has many tasks at hand that are important to her and her family.
125,0,I think Maria is feeling a lot of fulfillment; having raised her children to this point and seeing them thriving.  She gets satisfaction from the peace and joy of spending time with her children and her old friends.
126,1,"Maria is someone who thinks that the glass as half full rather than half empty.  Maria is thinking ""Why be one of those people who is so miserable and inappreciative that I see right in front of me that I have wonderful children and they have wonderful friends.  This is a time I will never get back; so why not dive in; take them to the park; be involved at their school and in their lives in general."""
127,1,I think that she enjoys motherhood very much. She seems to be enjoying all the simple things in life that many other people would take for granted. She loves her simple life very much.
128,1,She is planning out the children's present and future.  Maria's world is full of children; friends and love.  There is no negativity in Maria's mind.  Everyone has a place and belongs in Maria's life.  I feel this is what is going on in her mind.
129,1,Although it may feel like a lot of work to her. In Maria's thoughts; she is quite content because her children are the focus to her emotions. All the actions she does is for her children and the way she expresses; really relflects on what she does.
130,0,Because Maria loves her children so much; it makes her feel good to do things for them and to take care of them.  This makes her feel good because she cares about whether they are happy and about whether they have a good future.  Since these goals are important to her; then it fulfills her and makes her happy to do so much for her children.
131,0,She is thinking about how lucky she is to have such great children. She is thinking about how wondergul everything turned out. Also she is thinking about how grateful she should be and is about her life.
132,1,Maria sounds like she has learned to balance her home life with her social life. It is obvious that she loves her children very much; and they love her back very much. She has managed to keep her friends close and makes time for them. Her life sounds very well rounded and very complete. She is extremely lucky and definitely has her priorities straight.
133,0,About her children's futures and what she can do to insure they end up having happy lives. She also goes over how truly grateful she is to be so fortunate to have three healty beautiful children.
134,1,She is wanted and needed. She finds pleasure in doing for her kids; but also finds time for old friends. Overall there is little time for anything else other than being giving and that is what she wants to do.
135,1,It's important that my children have a good life; and if they do then I am doing good in the world. But I can't get so involved in my children's lives that I neglect my friends and my needs. 
136,1,Maria is devoting her life to her children; which gives her life meaning and purpose.  She understands and is willing to do what ever she can to enrich the lives of her children.  
137,1,What is going on in Maria's mind is probably just an ease of thinking. She probably has problems just like any other indivividuals. It's just that she takes her life easily and the way she perceives things is with positivity.
138,0,There are a lot of things going on in Maria's mind with having her children. She isn't worried too about going out; as in going to the movies; parties etc. Her main thoughts are attending to her children's needs and making them happy; therefore every night is spent on that. She never feels lonely.
139,0,Maria is living a fulfilled life where are children are all that matter to her; so she gains inner peace from that thought. its something like she has inner joy which no one can take from her. she aims to please as much as possible.
140,0,I think Maria is happy but she may be in denial with the problems that come with raising children. It sounds like she may be co-dependent but that is beyond my scope. I think she does love her children and her friends but what about her. She thinks she is happy but what makes her happy about her. She spends time doing things for others but what does she do for her.. 
141,1,I think Maria is thinking mostly about her kids and not as much about herself. I think she is thinking about how much of a good parent she is and how her children will turn out well because of it. 
142,0,Maria is content with her life as she is proud of her children. She enjoys spending time with them and they fill her life with joy. When she's not with her children; she's with her friends to add an element of fun and enjoyment into her life.
143,1,Maria thinks she should take advantage now that the children are still too young to enjoy them .The children will grow up someday and things will be different ; she thinks at this point in his life should be devoted to their children and leave their personal goals for the future.
144,0,Maria is proud of the life she has created around her family and the values with which she raised her children. These factors allow her to be as content as she is and she would not change it for anything.
145,1,Maria seems to be really smart; living her life mostly to help others. she finds comfort in her children and friends. she is very optimistic about her life and she seems to love everyone around her; thus making time to meet and talk to them everyday. 
146,0,she is fulfilled and content because her family has become the most important thing in her life. her own wants and needs are secondary to her own. she has found peace in something greater than herself in providing for peoples needs outside of her own.
147,0,Maria loved her children and always want to spend time with the children. Maria never wanted to miss any small moments with the children. Maria makes sure she spends equal time for the children and her self by catching up with her friends. Maria always thinks about her children's happiness and wants to the best mother.
148,0,Maria finds taking care of her children very enjoyable. She feels happy knowing they are happy. She finds her job (as a mother) fufilling and is an optimistic person. She probably feels great joy pleasing others.
149,1,Her children mean everything to her; and doing things for them is better than doing things for herself. She also has balance which makes it nice; by keeping in touch with her old friends too.
150,0,Maria is always thinking about her children and how to provide a better life for them. She thinks about what clothes to buy; what food to cook; and what activities to plan to make sure that her children are happy.
151,1,She must be thinking about how she is getting the best of both ends of the world. She has time for friends and time for kids; which she must think is wonderful. If I had to guess her mind must be filled with how every minute she has something to do that is fullfilling in life
152,0,She must be thinking about how she is getting the best of both ends of the world. She has time for friends and time for kids; which she must think is wonderful. If I had to guess her mind must be filled with how every minute she has something to do that is fullfilling in life
153,0,I have sneaking suspicion that she is actually doinga fairly good job of deluding herself. She thinks she is happy or wants to try and stay happy for the sake of others(her children) and not herself. I may be wrong but I have hunch that when her kids grow up and leave her that she will go into a deep depression or 'empty nest' syndrome rather quickly due to the illusion of happiness no longer being reinforced in her mind by having her kids around her.
154,0,Maria is occupied with the good things in her life; she is focused on family and friends and has locked out the negative aspects outside her comfort zone. She feels joy in taking care of her kids. All in all Maria is living in a world that she has a lot of control of.
155,1,She is thinking about what is best for her children.  She is thinking about the steps to take to make a successful family.  She is thinking about balance and how to acheive it.
156,1,Maria is a busy mom; but she enjoys taking care of her children; even though it is sometimes hectic.  She seems to live in the present; appreciate what she has; and thinks about balancing her parenting activities with some personal activities.  She doesn't dwell on negative thoughts.
157,1,Maria is constantly thinking about what she needs to do next. She is continually trying to please her friends and family and make sure they are taken care of. Maria has a busy life.
158,1,Maria is thinking about how fortunate she is to have the love of her children. She thinks about friends and how she is appreciative to have them in her life.   She loves her life and feel blessed to be the person she is and have the life she does. 
159,1,Maria finds fulfillment in nurturing the growth of her children. She thinks about them primarily; but also thinks about her need for adult companionship in the form of old friends. 
160,0,Maria is focused on her children; she wishes to provide a good home and family life for them and she is doing her best to make that happen.  Her biggest fulfillment is her children and seeing them happy; she wants their future to be bright and she does what needs to be done to see tha they have what they need to move forward in life.  Maria is an excellent mother and she seems to put her own needs and wants on the backburner so her childrens needs can be dealt with ahead of anything else.  Maria is the kind of mother every child needs.  Maria takes care of business in the way that a good caring parent should; she protects her childrens interests without a thought for herself and her personal needs at the moment.  Marias children come first and she is to be commended for that; its a good thing when a parent actually takes the time to RAISE their children and see that they become productive and lawful members of society.  Maria; a parent who is an example of what its all about in this life.  Good and true to her family.
161,0,It's all a state of mind; it doesn't matter whether Maria is almost constantly busy. The preoccupation might contribute to her thinking less about other things that would normally stress people out. but if she feels fulfilled then she will be happy no matter what.
162,0,Maria is thinking about the happiness and well being of her children.  Keeping herself busy with something important to her forms her impressions of her life and drives her motivation and devotion to her kids.
163,1,I think Maria feel blessed with the love and support from her three wondefull children.  Whether there is a father in their lives; she seem to enjoy being a great mother.  Not only does do the daily plannin for her three children; she makes time for her friends.  I think she simply loves being a mother to her three children.
164,0,I believe she feels the love and joy that comes with parenting and being a mother. She gets joy from making her children safe and happy. This is a biological response that most Mothers experience in parenting.
165,0,Maria believes that the most effective way to ensure her success in life is to guarantee that her children are satisfied with their lives. This requires her to spend most of her time ensuring that they are well-adjusted and view her as a role model for what a good life should look like.
166,0,she is content to being able to care for her children and is grateful that they will grow up loved and have what they need or want that is all a mother really hope's for  in life 
167,1,Maria is probably thinking about what things she will do the next day. Most likely WHAT Bills she will pa the next day like her light bill or power bill. If i was thinking i most likely would be thinking about what i should be watching on the television
168,0,Maria is an outstanding mother and most your kids deeply. Maria no matter what she stresses in life good or bad always can refer to her kids in her happiness. Maria works hard to support her three children and values hurt three children tremendously.priscilla miss you lucky for her to adore her family life and have a nice life because not everyone else has it like. Maria feel that everything she does is for a good cause.free I think that taking care of her three children will not only pay off but its a good complement to how much she loves them.Maria has worked a lot of hours but it is all for her three children who she is door she doesn't regret any time she does for them and working hard. Maria probably can't wait to see her kids go to college and become good people and have good success like her.
169,0,Maria is content with her situation and enjoys spending time and taking care of her children. Maria thinks to her self often about her situation and comes to the realization; the reason she is so content with her lifestyle is she really enjoys planning her children s future with them. 
170,0,Maria is happy because she has grown up and made a family but has not completely abandoned her previous life pre-family; either. She is happy because she gets the best of both worlds.
171,1,In her mind she is thinkiing about what she must do next. weather i be to prepare for a child birthday or go grocery shopping . her mind is alway occupied and never idle. in her mind things are constantl working them selves out and she is vry busy
